State_UT,Year,Month,Temperature_Mean_C,Temperature_Max_C,Temperature_Min_C,Relative_Humidity_Mean,Dew_Point_Mean_C,Precipitation_Sum_mm,Pressure_msl_Mean_hPa,Wind_Speed_kmh,Wind_Direction_Dominant_deg,Wet_Bulb_Temp_C,Heat_Index_C,WBGT_C,Temp_Baseline_C,Temp_Anomaly_C,Heatwave_Days,Extreme_Heat_Days,Heat_Risk_Score,Risk_Category,Data_Source,Data_Quality,Spatial_Representation
Andaman and Nicobar Islands,2011,1,25.664516129032258,27.1,23.9,77.12903225806451,21.312903225806455,145.0,1010.3354838709678,69.2941935483871,74.38709677419355,22.558683341678584,25.664516129032258,27.357343198440976,26.824301075268817,-0.5726881720430105,0,0,0.29129032258064513,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,2,25.960714285714285,27.6,23.6,75.89285714285714,21.34642857142857,22.5,1010.35,53.70428571428572,52.07142857142857,22.672502401871288,26.20277903264151,27.570018443935417,27.553301886792458,-0.906873315363882,0,0,0.38,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,3,25.958064516129035,28.3,23.6,80.38709677419355,22.248387096774195,185.5,1009.8096774193548,53.25677419354839,113.90322580645162,23.290399713787913,26.404924398903383,27.81134966816381,28.469032258064516,-1.6399999999999997,0,0,0.4180645161290323,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,4,26.973333333333336,28.8,25.2,79.2,23.03666666666667,79.9,1009.5300000000001,35.232,98.9,24.10580087127071,29.001256275171066,28.70745974240939,29.037777777777777,-1.3577777777777764,0,0,4.044666666666667,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,5,27.44193548387097,28.6,25.4,81.2258064516129,23.9,191.2,1008.0,69.96774193548387,241.19354838709677,24.843365611871704,30.778554687724004,29.263020104820416,28.980860215053763,-0.9002150537634404,0,0,8.425161290322581,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,6,27.153333333333332,28.3,25.6,84.96666666666667,24.396666666666665,270.6,1006.5233333333333,113.256,233.16666666666666,25.10280535855725,30.324555627055197,29.201342505912997,27.933333333333334,-0.0733333333333333,0,0,9.594333333333333,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,7,26.335483870967742,27.8,24.7,85.64516129032258,23.712903225806453,517.2,1007.0225806451613,106.46709677419355,224.70967741935485,24.401505949673155,27.18432264953808,28.46201119306026,27.73677419354839,-0.6625806451612916,0,0,3.666451612903226,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,8,26.293548387096774,27.4,25.1,85.80645161290323,23.700000000000003,318.5,1007.832258064516,104.99225806451614,225.19354838709677,24.384254687921423,26.94431556232194,28.43145402783699,27.556559139784945,-0.6307526881720414,0,0,3.322258064516129,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,9,26.136666666666667,27.6,24.8,86.4,23.68,379.9,1008.4566666666667,105.876,237.26666666666668,24.313636185013625,26.429863103589934,28.314749020710355,27.282444444444444,-0.3757777777777773,0,0,2.704,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,10,26.261290322580646,27.7,24.7,84.29032258064517,23.4,215.4,1009.1903225806452,61.82709677419355,172.61290322580646,24.140385375068043,27.059748636798076,28.31732306530497,27.477849462365594,-0.5230107526881747,0,0,2.4980645161290322,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,11,26.896666666666665,28.3,24.6,77.2,22.540000000000003,34.3,1009.9633333333334,60.144,77.6,23.745693979416977,28.79093118768402,28.522467733910876,27.787111111111113,-0.2537777777777793,0,0,2.944666666666667,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2011,12,26.293548387096774,27.5,24.9,78.29032258064517,22.141935483870967,181.6,1009.9645161290323,89.60516129032258,89.41935483870968,23.319834268929643,26.7232060432048,28.01313680317322,27.401505376344087,-0.5208602150537647,0,0,0.6293548387096775,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
Andaman and Nicobar Islands,2012,1,25.532258064516128,26.9,23.8,75.09677419354838,20.758064516129032,35.5,1011.2290322580644,70.78064516129034,45.806451612903224,22.15315656443209,25.532258064516128,27.122980852402456,26.824301075268817,-0.5501075268817202,0,0,0.1064516129032258,Low,ERA5 via Open-Meteo Historical Weather API,Reanalysis,State/UT representative coordinate
