State_UT,Year,Month,Temperature_Mean_C,Temperature_Max_C,Temperature_Min_C,Relative_Humidity_Mean,Dew_Point_Mean_C,Precipitation_Sum_mm,Pressure_msl_Mean_hPa,Wind_Speed_kmh,Wind_Direction_Dominant_deg,Wet_Bulb_Temp_C,Heat_Index_C,WBGT_C,Year_numeric,Month_sin,Month_cos,State_Andaman and Nicobar Islands,State_Andhra Pradesh,State_Arunachal Pradesh,State_Assam,State_Bihar,State_Chandigarh,State_Chhattisgarh,State_Dadra and Nagar Haveli and Daman and Diu,State_Delhi,State_Goa,State_Gujarat,State_Haryana,State_Himachal Pradesh,State_Jammu and Kashmir,State_Jharkhand,State_Karnataka,State_Kerala,State_Ladakh,State_Lakshadweep,State_Madhya Pradesh,State_Maharashtra,State_Manipur,State_Meghalaya,State_Mizoram,State_Nagaland,State_Odisha,State_Puducherry,State_Punjab,State_Rajasthan,State_Sikkim,State_Tamil Nadu,State_Telangana,State_Tripura,State_Uttar Pradesh,State_Uttarakhand,State_West Bengal,Alert_Status,Heatwave_Days
Andaman and Nicobar Islands,2011,1,25.664516129032258,27.1,23.9,77.12903225806451,21.31290322580645,145.0,1010.3354838709678,69.2941935483871,74.38709677419355,22.558683341678584,25.664516129032258,27.357343198440976,2011,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,2,25.960714285714285,27.6,23.6,75.89285714285714,21.34642857142857,22.5,1010.35,53.70428571428572,52.07142857142857,22.672502401871288,26.20277903264151,27.570018443935417,2011,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,3,25.958064516129035,28.3,23.6,80.38709677419355,22.248387096774195,185.5,1009.8096774193548,53.25677419354839,113.90322580645162,23.290399713787917,26.404924398903383,27.81134966816381,2011,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,4,26.973333333333336,28.8,25.2,79.2,23.03666666666667,79.9,1009.53,35.232,98.9,24.10580087127071,29.001256275171063,28.70745974240939,2011,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,5,27.44193548387097,28.6,25.4,81.2258064516129,23.9,191.2,1008.0,69.96774193548387,241.1935483870968,24.843365611871704,30.778554687724004,29.263020104820416,2011,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,6,27.15333333333333,28.3,25.6,84.96666666666667,24.396666666666665,270.6,1006.5233333333332,113.256,233.16666666666663,25.10280535855725,30.3245556270552,29.201342505913,2011,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,7,26.335483870967742,27.8,24.7,85.64516129032258,23.712903225806453,517.2,1007.0225806451612,106.46709677419356,224.70967741935485,24.401505949673155,27.18432264953808,28.46201119306026,2011,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,8,26.293548387096774,27.4,25.1,85.80645161290323,23.700000000000003,318.5,1007.832258064516,104.99225806451614,225.1935483870968,24.384254687921423,26.94431556232194,28.43145402783699,2011,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,9,26.136666666666667,27.6,24.8,86.4,23.68,379.9,1008.4566666666668,105.876,237.26666666666668,24.313636185013625,26.42986310358993,28.314749020710355,2011,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,10,26.26129032258065,27.7,24.7,84.29032258064517,23.4,215.4,1009.1903225806452,61.82709677419355,172.61290322580646,24.140385375068043,27.05974863679808,28.31732306530497,2011,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,11,26.896666666666665,28.3,24.6,77.2,22.540000000000003,34.3,1009.9633333333334,60.144,77.6,23.745693979416977,28.79093118768402,28.52246773391088,2011,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2011,12,26.293548387096774,27.5,24.9,78.29032258064517,22.141935483870967,181.6,1009.9645161290324,89.60516129032258,89.41935483870968,23.319834268929643,26.7232060432048,28.01313680317322,2011,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,1,25.532258064516128,26.9,23.8,75.09677419354838,20.758064516129032,35.5,1011.2290322580644,70.78064516129034,45.80645161290322,22.15315656443209,25.532258064516128,27.122980852402456,2012,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
