time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,State_UT,Latitude,Longitude,Region
2011-01-01,15.1,21.3,10.8,62,7.1,0.0,8.9,43,1014.1,Madhya Pradesh,22.9734,78.6569,Central
2011-01-02,14.1,21.7,7.2,59,5.5,0.0,6.5,69,1014.5,Madhya Pradesh,22.9734,78.6569,Central
2011-01-03,13.4,21.0,7.5,62,5.9,0.0,8.1,61,1016.4,Madhya Pradesh,22.9734,78.6569,Central
2011-01-04,12.8,19.9,7.1,61,5.0,0.0,7.4,52,1016.3,Madhya Pradesh,22.9734,78.6569,Central
2011-01-05,12.7,21.4,5.2,62,4.9,0.0,5.4,56,1015.5,Madhya Pradesh,22.9734,78.6569,Central
2011-01-06,12.2,20.8,5.4,65,5.2,0.0,7.9,67,1016.4,Madhya Pradesh,22.9734,78.6569,Central
2011-01-07,12.6,22.2,4.4,61,4.2,0.0,8.1,71,1015.5,Madhya Pradesh,22.9734,78.6569,Central
2011-01-08,13.6,23.4,5.3,58,4.6,0.0,5.6,76,1013.1,Madhya Pradesh,22.9734,78.6569,Central
2011-01-09,14.7,24.2,6.3,56,5.0,0.0,6.1,60,1013.4,Madhya Pradesh,22.9734,78.6569,Central
2011-01-10,14.3,22.5,7.3,61,6.3,0.0,4.7,43,1014.9,Madhya Pradesh,22.9734,78.6569,Central
2011-01-11,13.9,22.7,6.1,62,5.9,0.0,2.8,270,1014.1,Madhya Pradesh,22.9734,78.6569,Central
2011-01-12,16.1,26.2,7.7,58,6.7,0.0,3.1,219,1012.7,Madhya Pradesh,22.9734,78.6569,Central
2011-01-13,18.2,28.1,9.3,60,9.2,0.0,3.7,179,1012.3,Madhya Pradesh,22.9734,78.6569,Central
2011-01-14,19.0,28.2,11.7,62,10.8,0.0,5.8,243,1011.9,Madhya Pradesh,22.9734,78.6569,Central
2011-01-15,18.4,25.6,12.2,68,11.7,0.0,8.1,272,1013.6,Madhya Pradesh,22.9734,78.6569,Central
2011-01-16,15.4,21.3,10.4,50,4.0,0.0,7.0,320,1015.1,Madhya Pradesh,22.9734,78.6569,Central
2011-01-17,14.5,23.3,6.6,50,3.2,0.0,4.3,262,1013.9,Madhya Pradesh,22.9734,78.6569,Central
2011-01-18,17.0,25.9,10.0,49,5.5,0.0,5.8,250,1012.2,Madhya Pradesh,22.9734,78.6569,Central
2011-01-19,17.1,25.4,11.6,57,8.0,0.0,4.7,327,1012.0,Madhya Pradesh,22.9734,78.6569,Central
2011-01-20,16.1,24.6,9.8,59,7.1,0.0,6.3,72,1015.3,Madhya Pradesh,22.9734,78.6569,Central
2011-01-21,16.1,23.9,8.8,56,6.4,0.0,5.3,86,1015.8,Madhya Pradesh,22.9734,78.6569,Central
2011-01-22,18.0,26.9,9.3,57,8.3,0.0,2.9,118,1015.4,Madhya Pradesh,22.9734,78.6569,Central
2011-01-23,18.8,28.5,10.9,61,10.3,0.0,5.5,239,1015.5,Madhya Pradesh,22.9734,78.6569,Central
2011-01-24,19.5,27.8,12.8,62,11.4,0.0,3.1,258,1015.2,Madhya Pradesh,22.9734,78.6569,Central
2011-01-25,19.4,27.5,13.6,65,12.2,0.0,7.9,63,1015.3,Madhya Pradesh,22.9734,78.6569,Central
2011-01-26,19.7,27.5,13.7,62,11.7,0.0,7.0,42,1016.6,Madhya Pradesh,22.9734,78.6569,Central
2011-01-27,18.4,25.7,12.3,58,9.5,0.0,8.0,61,1017.8,Madhya Pradesh,22.9734,78.6569,Central
2011-01-28,18.8,26.3,12.2,61,10.8,0.0,7.7,65,1014.9,Madhya Pradesh,22.9734,78.6569,Central
2011-01-29,20.0,27.5,14.1,66,13.0,0.0,6.7,4,1012.3,Madhya Pradesh,22.9734,78.6569,Central
2011-01-30,19.2,26.8,12.4,69,12.8,0.0,5.2,291,1014.1,Madhya Pradesh,22.9734,78.6569,Central
2011-01-31,19.4,27.1,13.6,65,12.2,0.0,7.5,57,1016.4,Madhya Pradesh,22.9734,78.6569,Central
2011-01-01,18.3,24.3,13.5,58,9.7,0.0,10.0,40,1011.8,Maharashtra,19.7515,75.7139,West
2011-01-02,18.7,25.4,12.6,59,10.3,0.0,8.3,61,1012.1,Maharashtra,19.7515,75.7139,West
2011-01-03,19.8,26.0,14.6,62,12.0,0.0,9.3,80,1013.4,Maharashtra,19.7515,75.7139,West
2011-01-04,20.3,26.4,14.7,61,12.3,0.0,7.5,66,1013.6,Maharashtra,19.7515,75.7139,West
2011-01-05,19.2,26.0,13.8,63,11.5,0.0,8.0,35,1013.2,Maharashtra,19.7515,75.7139,West
2011-01-06,16.7,25.3,9.8,48,4.7,0.0,8.0,49,1014.3,Maharashtra,19.7515,75.7139,West
2011-01-07,15.6,25.0,7.1,54,5.2,0.0,7.6,58,1013.7,Maharashtra,19.7515,75.7139,West
2011-01-08,16.6,27.2,7.5,54,5.9,0.0,6.5,55,1011.9,Maharashtra,19.7515,75.7139,West
2011-01-09,17.0,26.8,8.5,56,6.9,0.0,7.1,42,1012.0,Maharashtra,19.7515,75.7139,West
2011-01-10,17.1,26.3,10.1,50,5.5,0.0,9.2,31,1013.1,Maharashtra,19.7515,75.7139,West
2011-01-11,16.6,27.2,7.9,58,7.0,0.0,6.2,24,1013.1,Maharashtra,19.7515,75.7139,West
2011-01-12,17.6,28.1,7.9,56,7.6,0.0,5.3,49,1012.3,Maharashtra,19.7515,75.7139,West
2011-01-13,18.7,29.9,9.3,58,8.9,0.0,6.7,81,1012.1,Maharashtra,19.7515,75.7139,West
2011-01-14,20.8,30.2,11.6,49,8.6,0.0,6.1,196,1012.2,Maharashtra,19.7515,75.7139,West
2011-01-15,20.2,28.8,13.1,57,10.7,0.0,5.9,2,1013.6,Maharashtra,19.7515,75.7139,West
2011-01-16,19.7,27.0,14.2,60,11.2,0.0,7.5,17,1013.7,Maharashtra,19.7515,75.7139,West
2011-01-17,18.5,28.4,10.4,57,8.9,0.0,5.5,43,1012.8,Maharashtra,19.7515,75.7139,West
2011-01-18,19.5,29.7,10.7,58,9.9,0.0,5.4,357,1012.3,Maharashtra,19.7515,75.7139,West
2011-01-19,20.1,29.9,11.9,54,9.5,0.0,7.1,346,1011.5,Maharashtra,19.7515,75.7139,West
2011-01-20,20.2,29.6,11.6,59,10.9,0.0,6.9,13,1013.6,Maharashtra,19.7515,75.7139,West
2011-01-21,19.4,28.3,11.8,55,9.0,0.0,6.4,45,1014.5,Maharashtra,19.7515,75.7139,West
2011-01-22,19.4,29.2,10.3,53,8.5,0.0,6.4,62,1014.8,Maharashtra,19.7515,75.7139,West
2011-01-23,20.4,30.2,11.8,54,9.8,0.0,6.5,83,1015.2,Maharashtra,19.7515,75.7139,West
2011-01-24,21.0,30.5,12.5,57,11.2,0.0,6.7,76,1014.8,Maharashtra,19.7515,75.7139,West
2011-01-25,21.7,30.5,13.6,60,12.7,0.0,5.9,90,1014.4,Maharashtra,19.7515,75.7139,West
2011-01-26,22.1,29.4,16.3,60,13.5,0.0,6.9,27,1015.5,Maharashtra,19.7515,75.7139,West
2011-01-27,21.9,30.2,15.0,59,12.5,0.0,7.4,86,1015.7,Maharashtra,19.7515,75.7139,West
2011-01-28,22.5,31.2,14.5,53,11.6,0.0,8.0,161,1013.7,Maharashtra,19.7515,75.7139,West
