time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,State_UT,Latitude,Longitude,Region
2014-01-01,18.0,25.2,11.6,76,13.4,0.0,4.0,314,1016.0,Tripura,23.9408,91.9882,Northeast
2014-01-02,18.0,25.7,11.4,76,13.3,0.0,3.4,261,1016.2,Tripura,23.9408,91.9882,Northeast
2014-01-03,17.5,23.7,12.7,77,13.2,0.0,4.2,349,1016.4,Tripura,23.9408,91.9882,Northeast
2014-01-04,16.6,23.7,12.2,83,13.6,0.0,3.6,318,1014.6,Tripura,23.9408,91.9882,Northeast
2014-01-05,16.0,23.2,11.3,84,13.1,0.0,3.2,292,1013.0,Tripura,23.9408,91.9882,Northeast
2014-01-06,16.0,22.4,11.1,85,13.3,0.0,4.8,348,1014.2,Tripura,23.9408,91.9882,Northeast
2014-01-07,16.8,22.9,11.9,80,13.0,0.0,4.8,347,1016.2,Tripura,23.9408,91.9882,Northeast
2014-01-08,15.3,22.8,11.0,80,11.6,0.0,5.8,10,1016.9,Tripura,23.9408,91.9882,Northeast
2014-01-09,16.2,22.6,11.3,80,12.5,0.0,3.0,305,1015.4,Tripura,23.9408,91.9882,Northeast
2014-01-10,16.4,24.0,10.6,81,12.8,0.0,5.3,28,1015.7,Tripura,23.9408,91.9882,Northeast
2014-01-11,18.5,26.8,10.8,76,13.7,0.0,4.2,72,1016.0,Tripura,23.9408,91.9882,Northeast
2014-01-12,18.7,25.1,14.9,82,15.3,0.0,3.3,226,1017.6,Tripura,23.9408,91.9882,Northeast
2014-01-13,18.7,26.3,13.0,80,14.9,0.0,6.9,10,1016.7,Tripura,23.9408,91.9882,Northeast
2014-01-14,18.4,24.8,13.1,81,15.0,0.0,3.0,250,1015.6,Tripura,23.9408,91.9882,Northeast
2014-01-15,18.1,23.7,13.3,84,15.2,0.0,4.1,238,1016.9,Tripura,23.9408,91.9882,Northeast
2014-01-16,18.4,25.8,14.3,83,15.3,0.0,3.9,304,1017.9,Tripura,23.9408,91.9882,Northeast
2014-01-17,18.6,25.6,13.0,82,15.2,0.0,4.8,22,1017.9,Tripura,23.9408,91.9882,Northeast
2014-01-18,20.7,29.2,14.0,78,16.4,0.0,5.8,140,1018.4,Tripura,23.9408,91.9882,Northeast
2014-01-19,20.7,27.7,15.5,74,15.5,0.0,6.2,214,1019.0,Tripura,23.9408,91.9882,Northeast
2014-01-20,19.7,26.8,14.9,75,14.9,0.0,5.3,3,1019.9,Tripura,23.9408,91.9882,Northeast
2014-01-21,18.8,27.0,12.9,80,15.1,0.0,5.2,2,1019.0,Tripura,23.9408,91.9882,Northeast
