time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,State_UT,Latitude,Longitude,Region
2016-09-01,29.2,32.9,26.3,75,24.2,1.0,8.0,260,1006.0,Andhra Pradesh,15.9129,79.74,South
2016-09-02,29.8,33.4,26.5,71,23.9,0.2,8.8,271,1006.0,Andhra Pradesh,15.9129,79.74,South
2016-09-03,29.5,33.5,27.4,73,23.9,2.6,8.6,285,1006.1,Andhra Pradesh,15.9129,79.74,South
2016-09-04,29.6,33.2,27.2,75,24.4,0.0,8.4,282,1007.4,Andhra Pradesh,15.9129,79.74,South
2016-09-05,30.0,33.2,27.3,64,22.2,0.0,11.5,288,1007.9,Andhra Pradesh,15.9129,79.74,South
2016-09-06,30.5,34.1,27.4,59,21.5,0.0,12.6,296,1008.1,Andhra Pradesh,15.9129,79.74,South
2016-09-07,30.5,34.5,26.8,58,21.2,0.0,12.1,301,1007.2,Andhra Pradesh,15.9129,79.74,South
2016-09-08,30.7,35.0,26.8,59,21.6,0.0,9.9,302,1007.1,Andhra Pradesh,15.9129,79.74,South
2016-09-09,31.0,34.7,27.4,62,22.6,0.0,9.8,318,1007.1,Andhra Pradesh,15.9129,79.74,South
2016-09-10,29.1,31.6,26.0,73,23.7,19.2,11.3,309,1006.6,Andhra Pradesh,15.9129,79.74,South
2016-09-11,27.3,30.3,25.4,82,24.0,13.4,14.5,293,1005.6,Andhra Pradesh,15.9129,79.74,South
2016-09-12,27.6,30.2,25.7,81,23.9,17.7,12.7,297,1004.7,Andhra Pradesh,15.9129,79.74,South
2016-09-13,26.3,27.8,25.0,84,23.4,15.7,11.8,290,1005.4,Andhra Pradesh,15.9129,79.74,South
2016-09-14,27.0,28.8,25.4,83,23.8,1.6,11.8,282,1004.8,Andhra Pradesh,15.9129,79.74,South
2016-09-15,27.0,29.6,24.8,85,24.2,6.3,9.7,261,1004.3,Andhra Pradesh,15.9129,79.74,South
2016-09-16,28.8,31.3,26.1,74,23.7,0.0,10.4,247,1004.4,Andhra Pradesh,15.9129,79.74,South
2016-09-17,29.4,32.8,26.7,72,23.6,0.2,9.5,249,1004.9,Andhra Pradesh,15.9129,79.74,South
2016-09-18,29.4,33.1,26.2,69,22.9,0.5,10.7,262,1006.7,Andhra Pradesh,15.9129,79.74,South
2016-09-19,30.1,32.9,27.9,64,22.5,0.0,11.3,281,1006.2,Andhra Pradesh,15.9129,79.74,South
2016-09-20,28.9,32.2,26.1,73,23.4,4.3,12.1,289,1005.1,Andhra Pradesh,15.9129,79.74,South
2016-09-21,26.0,27.2,25.1,89,24.0,43.4,11.4,290,1005.1,Andhra Pradesh,15.9129,79.74,South
2016-09-22,26.1,28.1,25.1,89,24.2,55.8,14.7,277,1004.7,Andhra Pradesh,15.9129,79.74,South
2016-09-23,26.8,28.3,25.7,86,24.2,14.8,13.2,262,1002.7,Andhra Pradesh,15.9129,79.74,South
2016-09-24,27.8,31.0,25.3,78,23.7,3.0,13.2,252,1001.6,Andhra Pradesh,15.9129,79.74,South
2016-09-25,28.5,32.4,26.2,78,24.2,6.6,10.5,258,1002.7,Andhra Pradesh,15.9129,79.74,South
2016-09-26,28.5,31.9,26.3,80,24.7,1.5,9.6,275,1004.8,Andhra Pradesh,15.9129,79.74,South
2016-09-27,28.6,32.4,27.0,83,25.3,23.6,6.2,280,1005.8,Andhra Pradesh,15.9129,79.74,South
2016-09-28,29.0,32.5,26.7,80,25.2,3.2,7.0,274,1004.9,Andhra Pradesh,15.9129,79.74,South
2016-09-29,29.2,33.4,26.1,78,24.9,1.8,7.8,283,1004.0,Andhra Pradesh,15.9129,79.74,South
2016-09-30,28.9,32.7,26.6,76,24.2,1.6,8.5,286,1003.6,Andhra Pradesh,15.9129,79.74,South
2016-09-01,24.8,25.5,24.0,97,24.3,45.9,4.4,136,1004.7,Arunachal Pradesh,28.218,94.7278,Northeast
2016-09-02,25.3,26.9,23.7,95,24.5,34.1,4.3,136,1003.7,Arunachal Pradesh,28.218,94.7278,Northeast
2016-09-03,26.3,28.2,24.2,91,24.7,13.1,3.5,160,1004.4,Arunachal Pradesh,28.218,94.7278,Northeast
2016-09-04,26.2,27.9,24.6,90,24.3,11.5,2.1,149,1006.4,Arunachal Pradesh,28.218,94.7278,Northeast
2016-09-05,25.7,27.6,24.3,91,24.1,6.8,2.5,132,1006.4,Arunachal Pradesh,28.218,94.7278,Northeast
2016-09-06,27.1,30.7,25.3,86,24.6,5.9,2.3,124,1006.7,Arunachal Pradesh,28.218,94.7278,Northeast
2016-09-07,26.9,30.2,25.3,87,24.6,24.8,2.2,157,1006.5,Arunachal Pradesh,28.218,94.7278,Northeast
2016-09-08,25.7,27.2,24.7,91,24.0,38.2,1.9,106,1007.9,Arunachal Pradesh,28.218,94.7278,Northeast
2016-09-09,25.4,27.1,24.1,92,24.0,92.5,2.7,116,1008.7,Arunachal Pradesh,28.218,94.7278,Northeast
2016-09-10,26.4,29.2,23.9,87,24.0,4.3,3.6,135,1008.4,Arunachal Pradesh,28.218,94.7278,Northeast
