time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,State_UT,Latitude,Longitude,Region
2017-02-01,23.5,30.6,17.7,71,17.3,0.0,5.8,131,1014.7,Odisha,20.9517,85.0985,East
2017-02-02,23.9,30.1,19.1,72,18.1,0.0,6.6,124,1016.6,Odisha,20.9517,85.0985,East
2017-02-03,24.0,30.0,18.3,69,17.2,0.0,6.2,55,1016.0,Odisha,20.9517,85.0985,East
2017-02-04,23.2,29.7,16.8,59,13.7,0.0,5.5,115,1014.7,Odisha,20.9517,85.0985,East
2017-02-05,23.3,30.8,15.8,60,14.1,0.0,4.9,131,1013.7,Odisha,20.9517,85.0985,East
2017-02-06,24.2,32.3,16.8,54,13.2,0.0,6.8,281,1012.0,Odisha,20.9517,85.0985,East
2017-02-07,24.9,31.9,18.4,48,12.8,0.0,7.4,306,1012.4,Odisha,20.9517,85.0985,East
2017-02-08,25.1,32.3,19.2,49,12.9,0.0,4.2,308,1013.7,Odisha,20.9517,85.0985,East
2017-02-09,24.4,32.5,17.4,63,15.5,0.0,4.9,142,1013.0,Odisha,20.9517,85.0985,East
2017-02-10,25.2,33.0,18.7,64,16.8,0.0,6.1,139,1012.4,Odisha,20.9517,85.0985,East
2017-02-11,25.7,33.1,19.5,55,15.1,0.0,8.3,136,1014.3,Odisha,20.9517,85.0985,East
2017-02-12,24.5,30.6,19.4,64,16.3,0.0,7.5,134,1017.0,Odisha,20.9517,85.0985,East
2017-02-13,24.7,31.7,17.3,61,15.8,0.0,7.1,140,1018.2,Odisha,20.9517,85.0985,East
2017-02-14,26.1,32.9,19.6,49,14.0,0.0,4.7,107,1018.8,Odisha,20.9517,85.0985,East
2017-02-15,26.0,33.0,19.1,51,14.2,0.0,5.1,103,1018.5,Odisha,20.9517,85.0985,East
2017-02-16,25.8,33.2,20.1,51,14.2,0.0,4.4,233,1015.9,Odisha,20.9517,85.0985,East
2017-02-17,25.3,32.1,20.3,59,16.1,0.0,4.6,72,1014.9,Odisha,20.9517,85.0985,East
2017-02-18,25.9,33.3,19.1,64,17.8,0.0,5.6,132,1014.7,Odisha,20.9517,85.0985,East
2017-02-19,26.5,33.7,20.9,63,18.1,0.0,6.5,261,1012.4,Odisha,20.9517,85.0985,East
2017-02-20,26.7,33.9,20.4,48,13.4,0.0,8.1,286,1009.1,Odisha,20.9517,85.0985,East
2017-02-21,28.1,37.2,20.6,45,13.9,0.0,7.2,183,1008.0,Odisha,20.9517,85.0985,East
2017-02-22,28.4,36.9,21.1,62,18.7,0.0,6.6,225,1009.0,Odisha,20.9517,85.0985,East
2017-02-23,27.9,34.4,23.0,62,19.0,0.0,4.6,93,1011.3,Odisha,20.9517,85.0985,East
2017-02-24,26.7,33.2,21.5,60,17.0,0.0,5.9,32,1013.6,Odisha,20.9517,85.0985,East
2017-02-25,25.2,32.4,18.7,47,11.7,0.0,5.7,303,1013.4,Odisha,20.9517,85.0985,East
2017-02-26,25.7,33.6,17.4,35,8.2,0.0,6.4,291,1011.2,Odisha,20.9517,85.0985,East
2017-02-27,26.8,34.3,19.4,44,12.5,0.0,4.0,95,1012.5,Odisha,20.9517,85.0985,East
2017-02-28,27.0,34.1,20.3,56,16.0,0.0,5.7,38,1013.1,Odisha,20.9517,85.0985,East
2017-02-01,14.8,21.2,9.0,83,11.5,0.0,5.4,290,1016.9,Punjab,31.1471,75.3412,North
2017-02-02,14.8,20.0,9.5,86,12.2,0.0,4.0,321,1019.6,Punjab,31.1471,75.3412,North
2017-02-03,14.2,19.6,9.8,87,11.9,0.0,4.4,338,1018.2,Punjab,31.1471,75.3412,North
2017-02-04,15.4,20.1,11.1,83,12.3,1.7,16.8,126,1013.1,Punjab,31.1471,75.3412,North
2017-02-05,17.0,20.7,13.8,85,14.4,10.1,12.1,145,1013.6,Punjab,31.1471,75.3412,North
2017-02-06,14.8,19.6,11.0,84,11.9,0.0,6.1,283,1016.8,Punjab,31.1471,75.3412,North
2017-02-07,14.0,20.1,9.1,79,10.1,0.0,7.0,293,1016.6,Punjab,31.1471,75.3412,North
2017-02-08,14.7,19.6,11.3,77,10.4,1.2,5.4,237,1015.1,Punjab,31.1471,75.3412,North
2017-02-09,14.2,20.4,9.4,79,10.3,0.0,6.8,269,1016.5,Punjab,31.1471,75.3412,North
2017-02-10,14.2,21.1,9.1,76,9.5,0.0,8.3,303,1016.2,Punjab,31.1471,75.3412,North
2017-02-11,14.0,22.1,7.2,75,8.9,0.0,7.3,310,1016.5,Punjab,31.1471,75.3412,North
2017-02-12,13.7,22.6,6.3,75,8.7,0.0,6.4,329,1020.3,Punjab,31.1471,75.3412,North
2017-02-13,15.1,23.1,7.9,77,10.6,0.0,8.4,312,1021.9,Punjab,31.1471,75.3412,North
2017-02-14,14.9,22.4,9.1,80,11.1,0.0,7.5,302,1021.5,Punjab,31.1471,75.3412,North
2017-02-15,16.8,24.4,10.5,74,11.6,0.0,7.9,318,1020.7,Punjab,31.1471,75.3412,North
2017-02-16,18.7,25.0,14.2,69,12.6,0.0,8.7,310,1018.7,Punjab,31.1471,75.3412,North
2017-02-17,19.2,25.4,14.2,74,14.1,0.0,9.0,311,1017.8,Punjab,31.1471,75.3412,North
2017-02-18,19.9,27.0,14.5,76,15.1,0.0,7.3,315,1017.4,Punjab,31.1471,75.3412,North
2017-02-19,20.9,27.4,16.1,75,15.7,0.8,6.9,346,1013.5,Punjab,31.1471,75.3412,North
2017-02-20,19.9,25.6,16.6,79,15.9,14.3,13.0,56,1006.3,Punjab,31.1471,75.3412,North
2017-02-21,18.1,23.9,14.1,76,13.5,0.0,7.8,31,1007.4,Punjab,31.1471,75.3412,North
2017-02-22,16.9,24.1,11.7,73,11.3,0.0,7.2,320,1013.1,Punjab,31.1471,75.3412,North
2017-02-23,16.4,24.2,10.9,61,7.9,0.0,9.5,311,1015.6,Punjab,31.1471,75.3412,North
2017-02-24,16.3,23.9,10.6,56,6.9,0.0,10.3,315,1017.1,Punjab,31.1471,75.3412,North
2017-02-25,16.7,24.6,9.4,59,7.8,0.0,9.4,317,1015.4,Punjab,31.1471,75.3412,North
2017-02-26,17.2,26.0,10.5,64,9.4,0.0,9.1,325,1013.0,Punjab,31.1471,75.3412,North
2017-02-27,17.6,27.5,10.0,68,10.2,0.0,7.8,3,1014.3,Punjab,31.1471,75.3412,North
2017-02-28,18.6,23.4,13.4,69,12.6,0.6,9.6,31,1015.2,Punjab,31.1471,75.3412,North
2017-02-01,17.8,24.5,12.5,66,10.4,0.0,8.3,58,1016.6,Rajasthan,27.0238,74.2179,North
2017-02-02,19.4,26.3,13.0,63,11.5,0.0,10.1,107,1017.9,Rajasthan,27.0238,74.2179,North
2017-02-03,20.9,28.3,15.2,59,11.8,0.0,12.5,133,1016.3,Rajasthan,27.0238,74.2179,North
2017-02-04,21.8,27.9,17.3,55,11.5,0.0,19.5,181,1011.8,Rajasthan,27.0238,74.2179,North
2017-02-05,20.2,24.9,15.0,50,8.6,0.0,11.3,245,1013.2,Rajasthan,27.0238,74.2179,North
2017-02-06,15.9,21.8,10.2,41,1.6,0.0,9.2,354,1017.2,Rajasthan,27.0238,74.2179,North
2017-02-07,15.6,22.5,9.5,42,2.1,0.0,7.1,23,1017.0,Rajasthan,27.0238,74.2179,North
2017-02-08,17.1,25.3,9.8,43,2.8,0.0,8.6,349,1015.0,Rajasthan,27.0238,74.2179,North
2017-02-09,16.6,23.8,9.8,43,2.9,0.0,8.9,360,1016.7,Rajasthan,27.0238,74.2179,North
2017-02-10,16.6,23.5,10.5,42,2.3,0.0,8.5,45,1016.6,Rajasthan,27.0238,74.2179,North
2017-02-11,16.6,24.3,9.4,41,1.7,0.0,8.9,73,1015.9,Rajasthan,27.0238,74.2179,North
2017-02-12,17.1,24.6,10.6,43,2.7,0.0,9.9,64,1019.0,Rajasthan,27.0238,74.2179,North
2017-02-13,17.6,25.7,10.4,38,1.7,0.0,10.6,39,1021.6,Rajasthan,27.0238,74.2179,North
2017-02-14,18.2,26.7,10.1,37,2.0,0.0,8.2,50,1022.1,Rajasthan,27.0238,74.2179,North
2017-02-15,19.8,29.5,11.4,37,3.0,0.0,7.3,88,1020.8,Rajasthan,27.0238,74.2179,North
2017-02-16,21.2,30.1,13.0,39,5.2,0.0,8.1,71,1018.6,Rajasthan,27.0238,74.2179,North
2017-02-17,22.9,31.2,15.9,41,7.8,0.0,8.3,69,1017.5,Rajasthan,27.0238,74.2179,North
2017-02-18,23.9,32.8,15.2,45,10.0,0.0,7.1,104,1017.1,Rajasthan,27.0238,74.2179,North
2017-02-19,25.1,33.6,17.7,42,9.8,0.0,11.5,225,1013.9,Rajasthan,27.0238,74.2179,North
2017-02-20,23.2,30.3,17.3,34,5.7,0.0,13.7,256,1008.0,Rajasthan,27.0238,74.2179,North
