time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,State_UT,Latitude,Longitude,Region
2017-06-01,33.8,41.0,28.3,55,22.6,0.0,12.5,196,1001.3,Gujarat,22.2587,71.1924,West
2017-06-02,32.3,38.3,28.6,62,23.9,5.1,8.6,222,1003.4,Gujarat,22.2587,71.1924,West
2017-06-03,32.9,37.6,29.1,60,23.7,0.7,11.7,220,1004.1,Gujarat,22.2587,71.1924,West
2017-06-04,32.6,37.7,27.7,58,22.8,0.2,15.3,211,1004.4,Gujarat,22.2587,71.1924,West
2017-06-05,32.4,37.9,27.8,58,22.6,0.4,16.2,219,1004.7,Gujarat,22.2587,71.1924,West
2017-06-06,32.6,37.7,28.0,57,22.5,0.0,17.8,216,1005.2,Gujarat,22.2587,71.1924,West
2017-06-07,32.3,37.6,28.4,59,22.9,0.7,17.1,224,1005.9,Gujarat,22.2587,71.1924,West
2017-06-08,30.9,36.5,27.2,65,23.2,4.5,15.1,245,1005.5,Gujarat,22.2587,71.1924,West
2017-06-09,30.4,36.4,27.6,68,23.5,2.2,15.8,263,1004.3,Gujarat,22.2587,71.1924,West
2017-06-10,29.2,34.3,26.0,73,23.6,8.2,11.5,270,1003.0,Gujarat,22.2587,71.1924,West
2017-06-11,31.2,37.5,27.6,69,24.3,2.0,10.9,267,1001.9,Gujarat,22.2587,71.1924,West
2017-06-12,32.2,38.6,27.0,61,23.2,0.0,11.5,266,1001.6,Gujarat,22.2587,71.1924,West
2017-06-13,31.8,37.9,26.1,61,22.8,0.2,16.5,250,1002.3,Gujarat,22.2587,71.1924,West
2017-06-14,32.5,38.3,27.0,60,23.0,0.0,15.2,246,1004.2,Gujarat,22.2587,71.1924,West
2017-06-15,32.8,38.7,27.6,59,22.7,0.0,15.5,257,1004.8,Gujarat,22.2587,71.1924,West
2017-06-16,32.4,38.5,27.2,60,22.7,0.0,19.2,247,1003.3,Gujarat,22.2587,71.1924,West
2017-06-17,32.3,38.1,27.7,59,22.4,0.0,19.1,244,1003.6,Gujarat,22.2587,71.1924,West
2017-06-18,32.4,38.7,27.8,58,22.0,0.0,18.9,247,1003.4,Gujarat,22.2587,71.1924,West
2017-06-19,31.5,36.4,27.8,61,22.6,0.0,20.2,241,1002.4,Gujarat,22.2587,71.1924,West
2017-06-20,31.5,35.8,28.1,63,23.1,0.1,21.1,232,1001.7,Gujarat,22.2587,71.1924,West
2017-06-21,31.0,34.7,27.9,66,23.6,0.2,21.9,228,1001.9,Gujarat,22.2587,71.1924,West
2017-06-22,31.5,35.9,28.1,65,23.7,0.2,19.6,240,1002.6,Gujarat,22.2587,71.1924,West
2017-06-23,31.0,36.3,27.5,64,23.0,0.3,19.8,256,1002.7,Gujarat,22.2587,71.1924,West
2017-06-24,30.8,36.0,26.9,66,23.4,0.3,15.0,261,1000.2,Gujarat,22.2587,71.1924,West
2017-06-25,30.1,36.6,27.2,69,23.5,4.6,10.0,225,998.5,Gujarat,22.2587,71.1924,West
2017-06-26,29.5,35.0,25.4,75,24.4,9.4,8.8,174,999.2,Gujarat,22.2587,71.1924,West
2017-06-27,29.0,33.1,26.0,76,24.2,6.7,10.9,146,998.7,Gujarat,22.2587,71.1924,West
2017-06-28,28.7,33.3,26.3,81,25.0,9.1,11.0,186,997.6,Gujarat,22.2587,71.1924,West
2017-06-29,27.7,31.9,25.4,85,25.0,32.7,13.5,230,998.2,Gujarat,22.2587,71.1924,West
2017-06-30,26.2,29.2,24.7,89,24.1,78.7,23.2,241,998.0,Gujarat,22.2587,71.1924,West
2017-06-01,32.5,38.8,25.9,50,19.6,0.0,5.8,355,1001.5,Haryana,29.0588,76.0856,North
2017-06-02,34.9,42.1,26.5,44,18.8,0.0,7.7,281,1001.1,Haryana,29.0588,76.0856,North
2017-06-03,38.0,44.4,30.7,32,17.3,0.0,12.4,302,998.7,Haryana,29.0588,76.0856,North
2017-06-04,39.3,46.1,32.0,27,15.9,0.0,14.9,272,997.3,Haryana,29.0588,76.0856,North
2017-06-05,39.8,44.4,35.6,30,18.5,0.0,19.6,266,998.2,Haryana,29.0588,76.0856,North
2017-06-06,38.7,42.9,35.7,33,19.1,0.0,17.0,253,999.6,Haryana,29.0588,76.0856,North
2017-06-07,31.9,36.5,25.2,55,21.3,2.9,10.8,100,1003.8,Haryana,29.0588,76.0856,North
2017-06-08,31.2,34.8,28.3,58,21.9,0.5,7.9,66,1003.1,Haryana,29.0588,76.0856,North
2017-06-09,32.6,37.9,27.0,51,20.3,0.0,7.3,333,1001.4,Haryana,29.0588,76.0856,North
2017-06-10,33.6,39.1,28.4,46,19.9,0.3,6.3,54,1000.3,Haryana,29.0588,76.0856,North
2017-06-11,31.4,36.9,24.9,50,19.3,1.0,8.7,359,1000.6,Haryana,29.0588,76.0856,North
2017-06-12,33.7,40.1,26.8,46,19.7,0.1,8.8,321,998.6,Haryana,29.0588,76.0856,North
2017-06-13,35.3,41.9,29.0,40,18.8,0.1,9.4,289,997.7,Haryana,29.0588,76.0856,North
2017-06-14,35.2,42.2,28.7,37,17.5,0.0,8.4,251,999.9,Haryana,29.0588,76.0856,North
2017-06-15,33.2,39.4,25.1,50,20.9,3.4,11.2,274,1000.3,Haryana,29.0588,76.0856,North
2017-06-16,32.4,37.6,27.3,50,20.5,0.0,12.1,130,1000.3,Haryana,29.0588,76.0856,North
2017-06-17,31.3,35.2,27.8,60,22.4,0.6,9.9,142,1000.3,Haryana,29.0588,76.0856,North
2017-06-18,31.9,37.2,25.2,65,23.9,5.9,7.4,227,999.0,Haryana,29.0588,76.0856,North
2017-06-19,33.1,37.5,28.6,60,24.1,0.7,9.8,248,997.0,Haryana,29.0588,76.0856,North
2017-06-20,29.8,35.1,26.2,68,23.0,4.4,7.1,136,998.3,Haryana,29.0588,76.0856,North
2017-06-21,28.9,34.1,24.8,74,23.3,20.0,8.6,251,999.2,Haryana,29.0588,76.0856,North
2017-06-22,29.5,33.3,25.4,73,23.8,2.6,9.1,252,1000.5,Haryana,29.0588,76.0856,North
