time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,State_UT,Latitude,Longitude,Region
2021-01-01,23.5,30.8,18.3,73,18.2,0.0,6.4,58,1011.9,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-02,23.6,28.5,20.1,75,18.7,0.0,5.8,341,1012.7,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-03,22.8,28.7,20.1,68,16.5,0.0,8.0,353,1011.4,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-04,22.5,27.6,19.1,69,16.3,0.0,6.5,348,1011.1,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-05,22.8,28.1,19.2,73,17.4,0.0,8.1,349,1012.5,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-06,22.9,28.6,18.6,65,15.9,0.0,12.4,2,1012.5,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-07,23.6,28.6,19.6,74,18.6,0.6,7.3,7,1009.8,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-08,23.6,28.7,20.7,86,20.9,5.0,5.7,7,1009.5,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-09,24.7,30.7,21.7,84,21.7,0.8,9.0,10,1010.3,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-10,25.8,31.8,21.9,79,21.9,0.0,7.4,17,1010.9,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-11,26.6,33.4,22.0,74,21.1,0.0,8.4,16,1011.9,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-12,26.1,33.1,21.4,72,20.3,0.0,9.7,11,1012.7,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-13,24.7,32.6,20.4,76,19.8,0.0,8.2,3,1012.3,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-14,23.1,31.8,16.9,77,18.5,0.0,5.9,348,1011.4,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-15,22.9,28.6,18.5,79,18.8,0.0,5.3,268,1010.5,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-16,22.0,29.4,15.9,79,17.8,0.0,4.8,331,1009.8,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-17,23.0,30.5,17.6,79,18.6,0.0,4.1,260,1010.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-18,23.6,30.5,18.8,73,17.8,0.0,4.3,342,1012.0,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-19,23.2,30.5,17.9,70,16.9,0.0,7.5,4,1012.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-20,22.3,29.5,17.1,67,15.6,0.0,7.2,7,1013.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-21,21.7,29.9,15.3,75,16.5,0.0,6.2,2,1012.9,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-22,22.6,31.5,15.4,74,17.1,0.0,5.6,5,1012.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2021-01-23,22.8,30.8,17.4,73,17.2,0.0,6.4,1,1012.3,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
