State_UT,Latitude,Longitude,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean
Andhra_Pradesh,16.5062,80.648,2024-02-01,26.5,33.4,21.2,73,20.4,1.6,2.24,138,1014.5
Andhra_Pradesh,16.5062,80.648,2024-02-02,27.3,33.1,21.3,74,21.5,0.5,2.23,164,1014.1
Andhra_Pradesh,16.5062,80.648,2024-02-03,27.0,32.3,22.7,75,21.5,0.3,1.73,130,1015.1
Andhra_Pradesh,16.5062,80.648,2024-02-04,26.7,32.9,22.0,75,21.3,0.4,2.27,123,1016.5
Andhra_Pradesh,16.5062,80.648,2024-02-05,27.4,33.8,21.8,73,21.3,0.1,1.97,140,1016.4
Andhra_Pradesh,16.5062,80.648,2024-02-06,28.0,35.1,22.3,72,21.6,0.1,1.71,166,1015.8
Andhra_Pradesh,16.5062,80.648,2024-02-07,28.7,36.3,23.2,69,21.3,0.0,1.24,170,1014.9
Andhra_Pradesh,16.5062,80.648,2024-02-08,29.0,36.5,23.6,65,20.4,0.0,1.24,176,1013.9
Andhra_Pradesh,16.5062,80.648,2024-02-09,27.9,33.4,23.8,74,22.5,1.7,2.61,122,1015.2
Andhra_Pradesh,16.5062,80.648,2024-02-10,27.6,33.3,23.3,73,21.9,2.1,3.56,122,1016.5
Andhra_Pradesh,16.5062,80.648,2024-02-11,26.7,33.5,21.9,70,20.2,0.0,3.11,120,1017.2
Andhra_Pradesh,16.5062,80.648,2024-02-12,25.7,33.1,20.1,71,18.9,0.0,3.04,110,1017.0
Andhra_Pradesh,16.5062,80.648,2024-02-13,25.9,33.6,20.1,73,19.7,0.0,2.54,108,1016.4
Andhra_Pradesh,16.5062,80.648,2024-02-14,26.2,34.2,20.1,70,18.9,0.0,2.4,110,1015.5
Andhra_Pradesh,16.5062,80.648,2024-02-15,26.3,34.5,20.6,69,18.3,0.0,2.38,111,1015.4
Andhra_Pradesh,16.5062,80.648,2024-02-16,25.7,35.2,18.5,62,14.8,0.0,2.23,104,1015.8
Andhra_Pradesh,16.5062,80.648,2024-02-17,25.7,34.6,18.4,66,16.8,0.0,1.57,130,1014.1
Andhra_Pradesh,16.5062,80.648,2024-02-18,27.1,35.3,20.0,69,19.5,0.1,2.43,145,1012.9
Andhra_Pradesh,16.5062,80.648,2024-02-19,27.5,35.1,21.1,66,18.6,0.0,2.82,171,1013.1
Andhra_Pradesh,16.5062,80.648,2024-02-20,28.2,36.5,21.7,68,20.0,0.0,3.14,176,1012.3
Andhra_Pradesh,16.5062,80.648,2024-02-21,28.2,36.2,21.7,63,18.4,0.0,3.05,173,1010.8
Andhra_Pradesh,16.5062,80.648,2024-02-22,28.8,36.2,22.4,68,20.8,0.0,3.16,166,1010.8
Andhra_Pradesh,16.5062,80.648,2024-02-23,29.2,34.7,24.6,70,22.6,1.0,2.76,147,1011.0
Andhra_Pradesh,16.5062,80.648,2024-02-24,27.9,33.2,22.6,75,22.5,2.7,3.44,139,1011.7
Andhra_Pradesh,16.5062,80.648,2024-02-25,28.6,34.0,24.0,68,21.4,0.0,3.4,133,1011.9
Andhra_Pradesh,16.5062,80.648,2024-02-26,27.9,33.9,23.7,68,20.5,0.6,3.66,115,1013.3
Andhra_Pradesh,16.5062,80.648,2024-02-27,27.7,35.4,21.9,68,19.7,0.0,2.73,108,1013.4
Andhra_Pradesh,16.5062,80.648,2024-02-28,28.1,35.5,22.7,67,19.6,0.0,2.25,116,1012.6
Andhra_Pradesh,16.5062,80.648,2024-02-29,29.1,36.1,22.3,65,20.4,0.0,1.8,127,1012.5
Arunachal_Pradesh,27.0844,93.6053,2024-02-01,14.3,19.0,10.6,78,10.4,5.5,1.9,32,1018.2
Arunachal_Pradesh,27.0844,93.6053,2024-02-02,13.8,17.4,11.2,80,10.3,25.8,1.81,44,1015.8
Arunachal_Pradesh,27.0844,93.6053,2024-02-03,13.6,17.8,9.8,87,11.3,2.0,1.35,35,1016.7
Arunachal_Pradesh,27.0844,93.6053,2024-02-04,14.5,19.9,8.9,70,8.8,0.1,1.65,38,1018.3
Arunachal_Pradesh,27.0844,93.6053,2024-02-05,13.7,15.0,12.2,88,11.7,3.3,1.37,40,1018.1
Arunachal_Pradesh,27.0844,93.6053,2024-02-06,14.4,17.6,12.0,88,12.4,5.9,1.49,57,1016.7
Arunachal_Pradesh,27.0844,93.6053,2024-02-07,14.1,18.7,10.4,83,11.1,0.9,1.98,48,1016.4
Arunachal_Pradesh,27.0844,93.6053,2024-02-08,14.2,17.5,11.6,77,10.2,0.5,1.3,46,1016.2
Arunachal_Pradesh,27.0844,93.6053,2024-02-09,14.7,20.9,8.6,74,9.7,0.0,1.02,3,1018.9
Arunachal_Pradesh,27.0844,93.6053,2024-02-10,15.6,22.3,9.5,73,10.4,0.0,1.13,334,1018.7
Arunachal_Pradesh,27.0844,93.6053,2024-02-11,16.3,23.7,10.5,66,9.6,0.0,1.27,17,1018.6
Arunachal_Pradesh,27.0844,93.6053,2024-02-12,16.7,24.4,11.0,67,10.2,0.0,1.22,302,1018.7
Arunachal_Pradesh,27.0844,93.6053,2024-02-13,16.9,23.5,11.6,66,10.2,0.0,1.27,350,1018.6
Arunachal_Pradesh,27.0844,93.6053,2024-02-14,17.1,24.1,11.5,63,9.7,0.0,1.13,354,1017.6
Arunachal_Pradesh,27.0844,93.6053,2024-02-15,17.6,22.3,13.6,70,11.9,0.1,1.62,49,1018.7
Arunachal_Pradesh,27.0844,93.6053,2024-02-16,17.3,23.8,11.1,70,11.4,0.0,1.12,17,1017.8
Arunachal_Pradesh,27.0844,93.6053,2024-02-17,17.4,23.3,11.5,70,11.6,0.2,1.39,354,1014.0
Arunachal_Pradesh,27.0844,93.6053,2024-02-18,18.0,22.6,14.3,76,13.5,1.1,1.39,33,1014.9
Arunachal_Pradesh,27.0844,93.6053,2024-02-19,18.0,23.5,13.1,72,12.7,0.4,1.16,27,1014.5
Arunachal_Pradesh,27.0844,93.6053,2024-02-20,16.7,20.7,13.4,82,13.4,3.8,1.67,22,1012.3
Arunachal_Pradesh,27.0844,93.6053,2024-02-21,16.9,19.6,15.2,88,14.9,16.3,1.9,349,1010.6
Arunachal_Pradesh,27.0844,93.6053,2024-02-22,16.5,19.3,12.6,89,14.7,8.7,2.01,253,1012.1
Arunachal_Pradesh,27.0844,93.6053,2024-02-23,17.1,22.6,11.6,79,13.2,11.8,1.97,262,1013.2
Arunachal_Pradesh,27.0844,93.6053,2024-02-24,16.0,21.5,11.7,81,12.6,0.2,1.93,35,1016.6
Arunachal_Pradesh,27.0844,93.6053,2024-02-25,14.5,19.6,10.4,78,10.7,1.5,1.39,26,1017.6
Arunachal_Pradesh,27.0844,93.6053,2024-02-26,14.9,21.9,8.5,70,9.1,0.0,1.0,38,1018.0
Arunachal_Pradesh,27.0844,93.6053,2024-02-27,16.4,23.4,10.7,63,9.0,0.0,1.29,5,1014.6
Arunachal_Pradesh,27.0844,93.6053,2024-02-28,16.6,21.5,12.6,65,9.9,0.0,1.28,22,1012.8
Arunachal_Pradesh,27.0844,93.6053,2024-02-29,17.7,22.7,12.9,73,12.6,4.8,1.35,37,1014.4
Assam,26.1445,91.7362,2024-02-01,16.2,22.3,12.8,86,13.6,0.1,1.67,97,1017.2
Assam,26.1445,91.7362,2024-02-02,16.0,21.3,11.7,85,13.4,2.2,1.31,95,1014.7
