State_UT,Latitude,Longitude,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean
Madhya_Pradesh,23.2599,77.4126,2024-02-01,19.3,26.4,13.6,62,11.2,0.0,2.1,305,1015.3
Madhya_Pradesh,23.2599,77.4126,2024-02-02,19.6,26.3,13.8,60,10.8,0.0,2.31,26,1017.1
Madhya_Pradesh,23.2599,77.4126,2024-02-03,19.4,26.4,12.7,65,11.8,0.0,1.84,120,1017.8
Madhya_Pradesh,23.2599,77.4126,2024-02-04,22.0,29.1,14.9,57,12.4,0.0,2.61,223,1016.7
Madhya_Pradesh,23.2599,77.4126,2024-02-05,22.3,29.4,15.7,61,13.7,0.0,2.47,293,1015.9
Madhya_Pradesh,23.2599,77.4126,2024-02-06,20.8,27.8,15.5,72,14.8,0.0,2.44,352,1017.3
Madhya_Pradesh,23.2599,77.4126,2024-02-07,19.6,26.1,14.2,68,12.9,0.0,2.41,27,1018.5
Madhya_Pradesh,23.2599,77.4126,2024-02-08,16.9,22.5,12.7,52,6.5,0.0,2.51,34,1019.6
Madhya_Pradesh,23.2599,77.4126,2024-02-09,16.4,23.6,10.6,50,5.3,0.0,2.34,42,1018.4
Madhya_Pradesh,23.2599,77.4126,2024-02-10,17.7,24.8,11.6,49,6.8,0.0,3.3,41,1019.0
Madhya_Pradesh,23.2599,77.4126,2024-02-11,18.6,25.2,12.7,55,9.3,0.0,3.2,40,1018.8
Madhya_Pradesh,23.2599,77.4126,2024-02-12,19.9,27.5,13.8,67,13.0,0.0,2.43,51,1017.2
Madhya_Pradesh,23.2599,77.4126,2024-02-13,21.3,28.6,15.6,71,15.0,0.1,2.17,9,1015.9
Madhya_Pradesh,23.2599,77.4126,2024-02-14,20.7,26.2,16.1,71,14.7,0.0,2.48,21,1016.8
Madhya_Pradesh,23.2599,77.4126,2024-02-15,20.2,26.6,14.9,63,12.3,0.0,2.96,42,1018.2
Madhya_Pradesh,23.2599,77.4126,2024-02-16,20.8,27.9,14.8,60,12.5,0.0,2.2,60,1018.4
Madhya_Pradesh,23.2599,77.4126,2024-02-17,21.7,29.0,14.2,58,12.7,0.0,1.89,19,1015.0
Madhya_Pradesh,23.2599,77.4126,2024-02-18,23.7,31.2,16.7,51,12.3,0.0,2.18,288,1012.3
Madhya_Pradesh,23.2599,77.4126,2024-02-19,24.4,31.2,17.9,42,9.6,0.0,3.01,247,1012.2
Madhya_Pradesh,23.2599,77.4126,2024-02-20,24.3,30.7,18.6,39,9.0,0.0,3.5,269,1012.1
Madhya_Pradesh,23.2599,77.4126,2024-02-21,22.8,28.5,17.8,45,10.0,0.0,3.74,269,1010.8
Madhya_Pradesh,23.2599,77.4126,2024-02-22,21.1,26.7,17.1,49,9.2,0.0,3.43,305,1012.5
Madhya_Pradesh,23.2599,77.4126,2024-02-23,20.2,25.9,15.4,48,8.3,0.0,2.19,44,1014.2
Madhya_Pradesh,23.2599,77.4126,2024-02-24,20.1,27.1,13.6,43,6.9,0.0,1.99,46,1013.9
Madhya_Pradesh,23.2599,77.4126,2024-02-25,19.8,26.5,13.6,47,7.9,0.0,3.12,50,1014.6
Madhya_Pradesh,23.2599,77.4126,2024-02-26,21.1,27.9,16.1,53,10.8,0.0,3.27,62,1015.1
Madhya_Pradesh,23.2599,77.4126,2024-02-27,21.4,30.1,17.1,69,15.0,14.5,2.51,90,1014.9
Madhya_Pradesh,23.2599,77.4126,2024-02-28,20.5,27.4,14.0,71,14.3,0.0,2.15,33,1015.1
Madhya_Pradesh,23.2599,77.4126,2024-02-29,22.4,30.9,15.3,52,11.4,0.0,1.94,37,1014.1
Maharashtra,19.076,72.8777,2024-02-01,22.9,28.2,18.9,70,16.8,0.0,3.01,331,1015.4
Maharashtra,19.076,72.8777,2024-02-02,23.7,30.1,18.9,68,16.5,0.0,3.41,346,1015.4
Maharashtra,19.076,72.8777,2024-02-03,26.4,34.2,20.0,49,14.2,0.0,3.24,358,1014.3
Maharashtra,19.076,72.8777,2024-02-04,26.2,33.5,20.1,55,15.6,0.0,2.19,340,1015.2
Maharashtra,19.076,72.8777,2024-02-05,26.3,32.2,21.7,54,16.0,0.0,3.43,335,1015.7
Maharashtra,19.076,72.8777,2024-02-06,25.8,32.0,21.1,57,16.4,0.0,3.58,336,1015.5
Maharashtra,19.076,72.8777,2024-02-07,26.1,32.4,21.4,58,16.7,0.0,4.42,340,1016.0
Maharashtra,19.076,72.8777,2024-02-08,25.8,32.2,20.9,53,15.1,0.0,4.14,343,1015.1
Maharashtra,19.076,72.8777,2024-02-09,24.6,31.1,18.6,52,13.6,0.0,3.77,336,1014.7
Maharashtra,19.076,72.8777,2024-02-10,24.7,30.9,20.2,41,10.6,0.0,3.93,339,1015.7
Maharashtra,19.076,72.8777,2024-02-11,24.1,31.0,18.3,45,11.1,0.0,3.63,338,1015.9
Maharashtra,19.076,72.8777,2024-02-12,24.3,31.5,17.9,53,13.5,0.0,2.85,334,1015.3
Maharashtra,19.076,72.8777,2024-02-13,24.9,31.8,19.8,42,10.5,0.0,3.69,340,1015.2
Maharashtra,19.076,72.8777,2024-02-14,25.6,33.0,20.6,39,10.4,0.0,4.22,342,1014.6
Maharashtra,19.076,72.8777,2024-02-15,25.9,32.7,20.1,44,12.3,0.0,3.6,341,1013.6
Maharashtra,19.076,72.8777,2024-02-16,26.2,34.5,19.7,56,16.0,0.0,2.26,317,1013.4
Maharashtra,19.076,72.8777,2024-02-17,26.3,33.5,19.7,58,17.0,0.0,2.23,321,1012.4
Maharashtra,19.076,72.8777,2024-02-18,26.8,34.9,20.7,55,15.8,0.0,3.16,335,1011.5
Maharashtra,19.076,72.8777,2024-02-19,25.8,32.3,19.4,50,13.8,0.0,3.5,334,1012.3
Maharashtra,19.076,72.8777,2024-02-20,25.4,31.5,20.3,62,16.8,0.0,3.76,338,1013.2
Maharashtra,19.076,72.8777,2024-02-21,24.0,28.8,19.3,76,19.1,0.1,2.78,319,1013.2
Maharashtra,19.076,72.8777,2024-02-22,24.2,28.7,20.5,78,19.8,0.2,3.16,325,1013.6
Maharashtra,19.076,72.8777,2024-02-23,24.4,30.2,18.7,63,16.0,0.0,3.71,346,1013.3
Maharashtra,19.076,72.8777,2024-02-24,24.8,31.8,19.6,35,7.4,0.0,4.51,348,1012.5
Maharashtra,19.076,72.8777,2024-02-25,25.6,34.3,18.8,29,5.2,0.0,3.31,352,1010.8
Maharashtra,19.076,72.8777,2024-02-26,26.3,34.8,18.5,47,13.4,0.0,2.53,303,1010.2
Maharashtra,19.076,72.8777,2024-02-27,27.4,34.0,20.9,51,15.5,0.0,3.07,331,1011.9
Maharashtra,19.076,72.8777,2024-02-28,27.9,35.2,22.5,41,12.9,0.0,2.97,334,1011.4
Maharashtra,19.076,72.8777,2024-02-29,28.2,34.4,22.5,53,17.3,0.0,2.95,326,1010.9
Manipur,24.817,93.9368,2024-02-01,14.3,21.4,7.0,70,8.2,0.0,1.68,256,1017.8
Manipur,24.817,93.9368,2024-02-02,14.2,18.6,10.8,83,11.2,7.0,1.52,241,1016.2
Manipur,24.817,93.9368,2024-02-03,13.9,19.4,7.5,74,8.6,0.7,1.69,248,1016.8
Manipur,24.817,93.9368,2024-02-04,13.3,20.4,6.1,66,6.3,0.0,1.78,263,1018.3
Manipur,24.817,93.9368,2024-02-05,15.0,20.6,10.2,69,8.9,0.0,2.22,242,1017.7
Manipur,24.817,93.9368,2024-02-06,14.8,18.3,11.5,83,12.0,9.9,1.31,202,1017.4
Manipur,24.817,93.9368,2024-02-07,15.3,20.1,12.1,81,11.8,2.2,2.02,223,1016.3
Manipur,24.817,93.9368,2024-02-08,12.7,19.3,6.4,71,6.6,0.0,1.89,252,1016.1
Manipur,24.817,93.9368,2024-02-09,12.1,21.0,4.3,61,3.7,0.0,1.43,10,1018.6
Manipur,24.817,93.9368,2024-02-10,13.9,22.8,6.2,63,6.3,0.0,1.6,345,1018.8
Manipur,24.817,93.9368,2024-02-11,14.9,24.1,6.4,60,6.0,0.0,1.58,329,1019.4
Manipur,24.817,93.9368,2024-02-12,14.6,23.4,8.1,66,7.3,0.0,1.58,281,1019.9
Manipur,24.817,93.9368,2024-02-13,14.6,23.4,7.7,63,6.2,0.0,1.58,275,1019.7
Manipur,24.817,93.9368,2024-02-14,15.7,24.2,7.9,59,6.7,0.0,1.54,243,1018.4
Manipur,24.817,93.9368,2024-02-15,16.9,24.7,10.3,64,9.4,0.1,1.89,261,1018.6
Manipur,24.817,93.9368,2024-02-16,16.3,25.0,9.4,66,8.9,0.0,1.51,280,1017.9
Manipur,24.817,93.9368,2024-02-17,15.6,24.1,8.9,67,8.7,0.0,1.85,266,1014.8
Manipur,24.817,93.9368,2024-02-18,15.3,24.1,8.8,61,6.2,0.0,1.92,267,1015.2
Manipur,24.817,93.9368,2024-02-19,14.9,24.4,6.9,60,5.8,0.0,1.67,262,1015.3
Manipur,24.817,93.9368,2024-02-20,15.6,23.9,7.2,66,8.3,0.0,2.22,281,1013.4
Manipur,24.817,93.9368,2024-02-21,17.1,23.7,12.8,76,12.3,4.6,1.49,246,1012.5
Manipur,24.817,93.9368,2024-02-22,16.5,20.9,12.8,85,13.8,1.8,1.43,4,1013.6
Manipur,24.817,93.9368,2024-02-23,16.0,18.8,11.8,91,14.5,11.1,1.19,65,1015.3
Manipur,24.817,93.9368,2024-02-24,15.5,22.5,10.3,72,9.3,0.0,1.76,280,1017.2
Manipur,24.817,93.9368,2024-02-25,14.2,19.9,8.5,71,8.8,0.0,1.6,15,1017.7
Manipur,24.817,93.9368,2024-02-26,14.9,24.0,7.2,67,8.0,0.0,1.68,269,1017.3
Manipur,24.817,93.9368,2024-02-27,14.9,24.0,8.1,65,7.5,0.0,1.62,282,1015.5
Manipur,24.817,93.9368,2024-02-28,14.9,23.0,7.6,65,7.7,0.0,2.06,265,1013.7
Manipur,24.817,93.9368,2024-02-29,15.5,24.0,8.4,70,9.1,0.0,2.05,272,1014.8
Meghalaya,25.5788,91.8933,2024-02-01,10.0,16.9,5.0,74,4.9,0.4,2.04,241,1018.0
Meghalaya,25.5788,91.8933,2024-02-02,10.8,15.7,7.6,77,6.4,1.9,3.38,232,1015.9
Meghalaya,25.5788,91.8933,2024-02-03,9.3,15.2,4.1,66,2.7,0.0,2.98,236,1016.6
