State_UT,Latitude,Longitude,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean
Tripura,23.8315,91.2868,2024-04-01,28.5,34.0,24.9,78,24.0,0.1,4.78,183,1005.7
Tripura,23.8315,91.2868,2024-04-02,28.0,32.0,25.2,83,24.8,5.4,4.38,174,1006.0
Tripura,23.8315,91.2868,2024-04-03,29.0,34.3,25.7,76,23.7,0.6,3.49,197,1007.4
Tripura,23.8315,91.2868,2024-04-04,29.0,34.7,24.4,76,23.9,0.2,3.9,189,1007.1
Tripura,23.8315,91.2868,2024-04-05,29.3,35.1,25.3,77,24.5,0.7,3.57,182,1005.9
Tripura,23.8315,91.2868,2024-04-06,29.9,35.6,25.7,75,24.3,2.8,3.3,193,1005.8
Tripura,23.8315,91.2868,2024-04-07,28.4,34.4,24.7,79,24.1,14.1,2.82,187,1006.9
Tripura,23.8315,91.2868,2024-04-08,27.3,32.8,22.5,68,20.5,0.0,2.11,256,1010.0
Tripura,23.8315,91.2868,2024-04-09,27.4,33.7,20.8,66,19.9,0.0,1.48,341,1009.9
Tripura,23.8315,91.2868,2024-04-10,27.6,34.6,21.2,63,18.9,0.0,1.65,14,1010.1
Tripura,23.8315,91.2868,2024-04-11,28.1,34.8,22.3,67,20.8,0.2,2.14,349,1010.9
Tripura,23.8315,91.2868,2024-04-12,28.9,34.8,24.4,56,18.6,0.0,2.14,346,1010.4
Tripura,23.8315,91.2868,2024-04-13,28.1,35.5,22.2,58,18.3,0.0,1.82,347,1010.0
Tripura,23.8315,91.2868,2024-04-14,27.5,34.8,21.0,66,20.0,0.1,1.73,352,1010.2
Tripura,23.8315,91.2868,2024-04-15,28.9,35.7,21.9,63,20.5,0.0,1.68,24,1009.3
Tripura,23.8315,91.2868,2024-04-16,29.1,35.4,24.5,69,22.6,0.7,2.04,176,1007.3
Tripura,23.8315,91.2868,2024-04-17,28.3,35.9,24.7,82,24.6,8.0,3.94,166,1005.7
Tripura,23.8315,91.2868,2024-04-18,27.4,33.9,24.5,86,24.6,7.5,3.06,155,1005.4
Tripura,23.8315,91.2868,2024-04-19,29.2,35.0,23.3,75,23.9,0.4,4.65,181,1002.3
Tripura,23.8315,91.2868,2024-04-20,30.5,36.3,26.7,74,24.7,0.0,5.62,189,1001.4
Tripura,23.8315,91.2868,2024-04-21,30.0,35.7,27.2,79,25.6,8.8,5.28,181,1003.3
Tripura,23.8315,91.2868,2024-04-22,30.5,35.3,27.5,75,25.1,0.3,3.96,189,1004.9
Tripura,23.8315,91.2868,2024-04-23,30.2,34.7,26.8,74,24.7,0.2,3.82,184,1004.5
Tripura,23.8315,91.2868,2024-04-24,30.0,35.9,25.7,73,24.1,1.0,3.22,186,1004.1
Tripura,23.8315,91.2868,2024-04-25,29.9,36.2,26.8,79,25.5,0.0,3.89,176,1004.7
Tripura,23.8315,91.2868,2024-04-26,30.1,36.3,26.5,77,25.2,1.0,4.31,184,1004.4
Tripura,23.8315,91.2868,2024-04-27,30.1,36.0,26.1,79,25.7,12.0,4.0,186,1004.6
Tripura,23.8315,91.2868,2024-04-28,30.9,35.7,26.7,75,25.7,0.1,3.99,187,1004.7
Tripura,23.8315,91.2868,2024-04-29,30.7,36.2,27.1,77,25.8,1.1,3.97,173,1005.1
Tripura,23.8315,91.2868,2024-04-30,30.5,36.8,27.2,79,26.2,5.3,5.03,179,1001.4
Uttar_Pradesh,26.8467,80.9462,2024-04-01,28.6,35.0,22.6,30,8.7,0.0,4.81,300,1006.3
Uttar_Pradesh,26.8467,80.9462,2024-04-02,26.9,34.5,20.2,30,7.1,0.0,4.01,286,1006.1
Uttar_Pradesh,26.8467,80.9462,2024-04-03,27.7,36.4,18.9,30,7.5,0.0,3.23,309,1007.2
Uttar_Pradesh,26.8467,80.9462,2024-04-04,30.0,38.0,20.1,30,9.8,0.0,2.5,316,1006.3
Uttar_Pradesh,26.8467,80.9462,2024-04-05,30.1,38.1,21.7,28,8.2,0.0,3.14,298,1005.8
Uttar_Pradesh,26.8467,80.9462,2024-04-06,29.3,36.2,22.8,26,6.6,0.0,2.9,290,1006.3
Uttar_Pradesh,26.8467,80.9462,2024-04-07,28.6,37.0,21.6,23,4.2,0.0,2.97,313,1006.5
Uttar_Pradesh,26.8467,80.9462,2024-04-08,28.6,37.6,19.1,19,1.3,0.0,3.45,302,1008.0
Uttar_Pradesh,26.8467,80.9462,2024-04-09,29.2,38.4,19.9,22,4.0,0.0,2.51,283,1008.7
Uttar_Pradesh,26.8467,80.9462,2024-04-10,29.6,38.6,21.0,24,5.4,0.0,2.35,255,1008.8
Uttar_Pradesh,26.8467,80.9462,2024-04-11,30.1,38.1,21.3,25,7.1,0.0,2.45,287,1009.7
Uttar_Pradesh,26.8467,80.9462,2024-04-12,29.9,38.3,21.5,29,9.2,0.0,2.03,287,1009.1
Uttar_Pradesh,26.8467,80.9462,2024-04-13,30.8,36.9,25.0,32,11.5,0.0,1.99,200,1009.2
Uttar_Pradesh,26.8467,80.9462,2024-04-14,30.4,36.7,24.1,38,14.1,0.0,1.49,315,1009.8
Uttar_Pradesh,26.8467,80.9462,2024-04-15,30.9,38.4,23.9,44,16.3,0.2,2.29,293,1009.4
Uttar_Pradesh,26.8467,80.9462,2024-04-16,32.2,38.9,24.9,32,12.6,0.0,4.04,299,1007.1
Uttar_Pradesh,26.8467,80.9462,2024-04-17,31.5,37.5,25.0,22,5.3,0.0,5.37,290,1005.8
Uttar_Pradesh,26.8467,80.9462,2024-04-18,32.4,39.3,25.5,21,6.9,0.0,5.25,296,1004.6
Uttar_Pradesh,26.8467,80.9462,2024-04-19,33.6,40.2,28.1,24,9.5,0.0,4.48,304,1002.6
Uttar_Pradesh,26.8467,80.9462,2024-04-20,32.8,40.6,26.6,21,6.8,0.0,4.26,276,1001.8
Uttar_Pradesh,26.8467,80.9462,2024-04-21,31.8,38.7,24.2,22,7.4,0.0,3.84,293,1003.5
Uttar_Pradesh,26.8467,80.9462,2024-04-22,32.1,39.4,24.6,25,8.8,0.0,2.6,287,1004.7
Uttar_Pradesh,26.8467,80.9462,2024-04-23,32.0,39.7,23.9,24,8.1,0.0,2.8,308,1004.2
Uttar_Pradesh,26.8467,80.9462,2024-04-24,32.2,40.0,24.1,21,5.5,0.0,3.72,306,1004.1
Uttar_Pradesh,26.8467,80.9462,2024-04-25,32.5,40.4,24.1,18,4.5,0.0,3.71,293,1004.1
Uttar_Pradesh,26.8467,80.9462,2024-04-26,33.9,41.7,24.4,17,4.9,0.0,3.88,280,1003.5
Uttar_Pradesh,26.8467,80.9462,2024-04-27,34.1,40.3,28.3,25,11.0,0.0,4.52,274,1004.3
Uttar_Pradesh,26.8467,80.9462,2024-04-28,33.5,41.1,26.4,19,5.7,0.0,3.65,303,1004.4
Uttar_Pradesh,26.8467,80.9462,2024-04-29,33.2,41.5,23.7,21,7.1,0.0,2.33,280,1004.2
Uttar_Pradesh,26.8467,80.9462,2024-04-30,33.0,40.6,26.5,18,4.9,0.0,4.48,294,1001.7
Uttarakhand,30.0668,79.0193,2024-04-01,12.0,17.5,6.9,56,2.9,0.0,1.43,287,1011.8
Uttarakhand,30.0668,79.0193,2024-04-02,13.1,18.8,7.6,52,2.7,0.5,1.46,250,1010.8
Uttarakhand,30.0668,79.0193,2024-04-03,12.7,18.0,7.2,48,0.9,0.0,1.98,304,1013.7
Uttarakhand,30.0668,79.0193,2024-04-04,13.5,18.0,9.3,46,1.9,2.0,1.54,12,1014.4
Uttarakhand,30.0668,79.0193,2024-04-05,12.5,17.3,8.4,45,0.2,0.0,2.5,293,1013.3
Uttarakhand,30.0668,79.0193,2024-04-06,13.3,18.2,7.7,40,-0.8,0.6,1.37,262,1012.7
Uttarakhand,30.0668,79.0193,2024-04-07,12.5,18.2,7.2,43,-0.3,2.1,1.75,264,1012.8
Uttarakhand,30.0668,79.0193,2024-04-08,12.9,18.3,7.0,38,-2.1,0.5,1.65,296,1014.3
Uttarakhand,30.0668,79.0193,2024-04-09,12.1,18.0,8.0,43,-0.7,3.3,1.59,89,1015.9
Uttarakhand,30.0668,79.0193,2024-04-10,14.2,19.2,7.3,38,-0.6,2.6,1.31,298,1016.4
Uttarakhand,30.0668,79.0193,2024-04-11,13.8,18.2,8.3,44,0.9,4.0,1.49,319,1018.1
Uttarakhand,30.0668,79.0193,2024-04-12,14.0,18.9,7.8,46,2.1,1.1,1.82,293,1017.0
Uttarakhand,30.0668,79.0193,2024-04-13,15.0,19.7,9.3,43,2.0,0.9,1.46,301,1016.7
Uttarakhand,30.0668,79.0193,2024-04-14,13.7,17.5,9.6,55,4.2,0.1,1.32,101,1018.3
Uttarakhand,30.0668,79.0193,2024-04-15,14.3,19.7,9.3,64,7.0,7.1,1.33,326,1017.5
Uttarakhand,30.0668,79.0193,2024-04-16,13.4,19.0,8.9,63,5.8,1.0,1.94,295,1014.9
Uttarakhand,30.0668,79.0193,2024-04-17,13.6,21.3,7.8,59,4.8,0.0,1.8,292,1012.2
Uttarakhand,30.0668,79.0193,2024-04-18,14.5,19.9,9.5,55,5.1,0.8,2.52,301,1011.8
Uttarakhand,30.0668,79.0193,2024-04-19,15.1,20.8,11.7,50,4.3,2.0,2.48,315,1011.9
Uttarakhand,30.0668,79.0193,2024-04-20,15.1,19.1,9.9,45,2.7,3.9,2.02,215,1010.1
Uttarakhand,30.0668,79.0193,2024-04-21,14.2,20.5,9.1,53,4.0,2.4,1.75,283,1011.0
Uttarakhand,30.0668,79.0193,2024-04-22,13.0,18.9,8.7,56,3.7,1.5,1.75,297,1012.7
Uttarakhand,30.0668,79.0193,2024-04-23,12.6,18.2,8.2,53,2.3,1.0,1.74,283,1012.6
Uttarakhand,30.0668,79.0193,2024-04-24,13.3,19.5,7.9,51,2.6,5.1,1.68,281,1011.8
Uttarakhand,30.0668,79.0193,2024-04-25,14.7,20.4,8.5,46,2.0,0.0,1.95,300,1011.7
Uttarakhand,30.0668,79.0193,2024-04-26,16.3,22.0,10.3,39,1.4,0.0,2.24,297,1011.5
Uttarakhand,30.0668,79.0193,2024-04-27,13.0,17.9,9.3,65,6.1,3.7,1.47,26,1014.1
Uttarakhand,30.0668,79.0193,2024-04-28,14.5,19.3,9.3,48,3.1,1.6,1.57,311,1013.2
Uttarakhand,30.0668,79.0193,2024-04-29,14.5,20.5,9.2,49,2.6,5.7,1.97,319,1013.4
Uttarakhand,30.0668,79.0193,2024-04-30,14.2,21.1,8.0,51,2.7,0.1,1.99,298,1010.0
West_Bengal,22.5726,88.3639,2024-04-01,30.6,37.0,25.5,61,21.4,0.0,2.93,221,1005.4
West_Bengal,22.5726,88.3639,2024-04-02,30.3,36.3,24.8,67,22.4,0.0,1.88,144,1005.2
West_Bengal,22.5726,88.3639,2024-04-03,30.4,36.8,25.0,73,23.8,0.0,2.13,191,1007.3
West_Bengal,22.5726,88.3639,2024-04-04,29.9,36.7,26.3,82,26.2,15.6,3.57,189,1006.7
West_Bengal,22.5726,88.3639,2024-04-05,31.6,38.3,26.5,76,26.0,0.0,2.91,196,1004.9
West_Bengal,22.5726,88.3639,2024-04-06,30.9,37.7,26.4,79,26.2,3.3,2.63,174,1005.6
West_Bengal,22.5726,88.3639,2024-04-07,30.4,36.3,26.3,73,24.5,2.5,2.31,216,1006.9
West_Bengal,22.5726,88.3639,2024-04-08,27.1,32.0,22.9,70,20.7,0.1,2.86,274,1010.2
West_Bengal,22.5726,88.3639,2024-04-09,28.1,34.7,21.7,62,19.7,0.0,1.75,227,1009.9
West_Bengal,22.5726,88.3639,2024-04-10,29.0,35.7,22.5,62,20.3,0.0,1.65,237,1010.0
West_Bengal,22.5726,88.3639,2024-04-11,27.2,32.8,23.7,73,21.9,0.8,1.98,237,1011.3
West_Bengal,22.5726,88.3639,2024-04-12,28.7,34.9,22.5,61,19.8,0.0,1.54,215,1010.5
West_Bengal,22.5726,88.3639,2024-04-13,29.7,36.6,23.1,62,20.5,0.0,1.65,177,1009.9
West_Bengal,22.5726,88.3639,2024-04-14,30.0,36.6,24.1,61,20.5,0.0,1.75,199,1009.9
West_Bengal,22.5726,88.3639,2024-04-15,31.3,38.5,24.6,64,22.4,0.0,2.39,199,1008.7
West_Bengal,22.5726,88.3639,2024-04-16,32.3,38.9,26.6,58,21.7,0.0,2.85,209,1006.3
West_Bengal,22.5726,88.3639,2024-04-17,32.4,38.7,27.5,59,22.5,0.0,2.22,209,1004.5
West_Bengal,22.5726,88.3639,2024-04-18,32.0,38.7,25.7,49,17.8,0.0,2.14,266,1004.1
West_Bengal,22.5726,88.3639,2024-04-19,32.2,40.8,25.3,54,19.9,0.0,3.96,220,1001.9
West_Bengal,22.5726,88.3639,2024-04-20,32.9,41.7,26.3,62,23.0,0.0,4.11,210,1001.2
West_Bengal,22.5726,88.3639,2024-04-21,33.6,41.2,27.2,61,23.5,0.0,3.36,206,1002.4
West_Bengal,22.5726,88.3639,2024-04-22,33.4,40.0,27.7,52,19.8,0.0,1.88,277,1004.5
West_Bengal,22.5726,88.3639,2024-04-23,32.5,38.7,26.7,45,18.6,0.0,2.51,256,1004.5
West_Bengal,22.5726,88.3639,2024-04-24,33.3,39.9,27.3,49,19.9,0.0,3.02,223,1003.5
West_Bengal,22.5726,88.3639,2024-04-25,33.0,40.4,25.7,51,19.6,0.0,2.16,239,1003.9
West_Bengal,22.5726,88.3639,2024-04-26,33.0,41.0,27.5,67,24.9,0.0,3.67,193,1003.7
West_Bengal,22.5726,88.3639,2024-04-27,33.6,40.8,28.0,62,23.3,0.0,3.64,205,1003.7
West_Bengal,22.5726,88.3639,2024-04-28,33.8,40.4,28.3,58,23.0,1.6,3.26,215,1004.2
West_Bengal,22.5726,88.3639,2024-04-29,34.3,41.6,28.6,51,21.0,0.0,3.36,220,1004.5
West_Bengal,22.5726,88.3639,2024-04-30,35.2,43.9,29.3,51,21.8,0.0,4.16,218,1000.3
Andaman_and_Nicobar_Islands,11.7401,92.6586,2024-04-01,28.5,34.9,23.3,71,22.0,0.0,1.09,340,1010.7
Andaman_and_Nicobar_Islands,11.7401,92.6586,2024-04-02,28.6,35.6,21.6,69,21.4,0.0,1.48,323,1009.4
Andaman_and_Nicobar_Islands,11.7401,92.6586,2024-04-03,29.1,35.3,23.6,72,22.7,0.0,1.58,331,1010.2
Andaman_and_Nicobar_Islands,11.7401,92.6586,2024-04-04,29.1,35.8,24.2,74,23.2,0.0,2.32,332,1009.8
Andaman_and_Nicobar_Islands,11.7401,92.6586,2024-04-05,29.0,35.6,24.1,76,23.6,0.0,2.14,322,1009.1
Andaman_and_Nicobar_Islands,11.7401,92.6586,2024-04-06,28.9,35.1,23.6,75,23.4,0.0,0.95,313,1008.6
