State_UT,Latitude,Longitude,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-01,30.7,35.1,26.9,51,18.4,0.0,2.93,254,1005.3
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-02,29.4,34.3,24.5,60,20.0,0.0,3.23,235,1005.7
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-03,29.3,34.1,24.3,70,22.7,0.0,2.99,250,1007.0
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-04,30.0,35.7,24.8,72,23.8,0.0,3.0,252,1007.7
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-05,30.8,36.0,26.4,64,22.4,0.0,3.23,264,1006.2
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-06,30.1,33.4,27.9,72,24.3,0.0,3.37,249,1006.9
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-07,29.5,32.6,27.2,76,24.8,0.0,4.39,229,1007.8
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-08,29.6,32.6,27.0,75,24.6,0.0,4.0,238,1007.4
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-09,29.8,32.9,27.4,75,24.8,0.0,3.88,247,1006.8
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-10,29.7,32.6,27.4,75,24.7,0.0,3.68,248,1008.0
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-11,29.9,32.8,26.6,76,24.9,0.0,3.09,273,1008.8
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-12,30.3,33.2,27.7,75,25.1,0.0,2.82,272,1008.8
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-13,30.7,35.0,27.4,74,25.2,1.0,2.42,296,1008.3
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-14,31.4,36.4,26.7,65,23.7,0.0,2.59,319,1007.7
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-15,31.9,36.7,27.3,65,24.0,0.0,2.64,281,1007.8
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-16,32.7,37.2,27.4,60,23.0,0.0,2.74,301,1007.8
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-17,31.9,35.6,28.4,66,24.4,0.0,3.41,221,1006.5
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-18,31.9,36.7,27.6,73,26.0,0.0,3.25,234,1004.4
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2024-05-19,32.2,37.1,28.0,66,24.7,0.0,3.44,236,1002.7
