State_UT,Latitude,Longitude,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean
Gujarat,23.0225,72.5714,2025-02-01,22.1,27.7,16.5,37,5.5,0.0,1.93,290,1012.6
Gujarat,23.0225,72.5714,2025-02-02,22.6,28.6,16.0,29,3.0,0.0,1.29,347,1013.4
Gujarat,23.0225,72.5714,2025-02-03,24.6,30.3,19.2,30,5.2,0.0,1.42,304,1012.2
Gujarat,23.0225,72.5714,2025-02-04,23.7,28.7,19.1,32,5.1,0.0,2.28,326,1013.9
Gujarat,23.0225,72.5714,2025-02-05,22.0,28.0,15.3,29,2.0,0.0,2.21,17,1014.7
Gujarat,23.0225,72.5714,2025-02-06,22.1,28.3,15.7,28,1.6,0.0,3.5,50,1014.9
Gujarat,23.0225,72.5714,2025-02-07,23.2,29.5,17.2,31,4.9,0.0,3.43,57,1015.2
Gujarat,23.0225,72.5714,2025-02-08,24.3,30.9,17.4,31,6.0,0.0,2.32,65,1013.8
Gujarat,23.0225,72.5714,2025-02-09,25.0,32.5,16.9,35,7.2,0.0,1.6,30,1012.5
Gujarat,23.0225,72.5714,2025-02-10,25.7,32.2,18.4,30,5.6,0.0,1.62,328,1013.3
Gujarat,23.0225,72.5714,2025-02-11,24.5,30.7,17.2,36,7.9,0.0,1.98,286,1013.9
Gujarat,23.0225,72.5714,2025-02-12,25.5,31.6,18.6,46,10.8,0.0,2.16,319,1014.7
Gujarat,23.0225,72.5714,2025-02-13,26.0,31.7,19.4,28,5.6,0.0,1.9,30,1015.0
Gujarat,23.0225,72.5714,2025-02-14,26.7,33.1,18.9,30,6.8,0.0,1.61,309,1013.9
Gujarat,23.0225,72.5714,2025-02-15,27.0,34.0,19.9,33,8.8,0.0,2.24,265,1011.5
Gujarat,23.0225,72.5714,2025-02-16,27.0,32.7,21.1,40,11.5,0.0,2.32,263,1011.6
Gujarat,23.0225,72.5714,2025-02-17,27.3,33.2,21.1,43,12.7,0.0,1.76,276,1013.0
Gujarat,23.0225,72.5714,2025-02-18,28.2,33.4,22.8,38,11.5,0.0,2.36,297,1012.7
Gujarat,23.0225,72.5714,2025-02-19,27.5,33.4,21.7,33,9.4,0.0,2.57,286,1011.8
Gujarat,23.0225,72.5714,2025-02-20,27.5,33.3,21.5,36,10.4,0.0,2.35,288,1012.5
Gujarat,23.0225,72.5714,2025-02-21,28.1,33.2,22.0,31,8.7,0.0,2.24,336,1014.7
Gujarat,23.0225,72.5714,2025-02-22,27.9,33.8,21.4,30,7.7,0.0,1.67,360,1015.2
Gujarat,23.0225,72.5714,2025-02-23,27.9,34.1,20.9,27,6.3,0.0,1.7,348,1015.2
Gujarat,23.0225,72.5714,2025-02-24,28.2,34.0,21.4,27,6.9,0.0,2.14,46,1015.4
Gujarat,23.0225,72.5714,2025-02-25,28.4,34.7,21.8,27,7.2,0.0,2.48,62,1015.9
Gujarat,23.0225,72.5714,2025-02-26,29.3,35.9,22.7,28,8.4,0.0,2.13,72,1015.5
Gujarat,23.0225,72.5714,2025-02-27,30.1,36.1,23.7,30,10.0,0.0,1.82,192,1013.0
Gujarat,23.0225,72.5714,2025-02-28,29.4,35.3,23.5,30,8.9,0.0,2.3,276,1011.6
Haryana,30.7333,76.7794,2025-02-01,16.3,23.4,10.1,53,5.8,0.0,1.8,29,1013.7
Haryana,30.7333,76.7794,2025-02-02,15.7,22.7,10.3,64,8.3,0.0,2.47,327,1015.2
Haryana,30.7333,76.7794,2025-02-03,13.9,21.3,8.5,73,8.7,0.0,1.12,322,1014.6
Haryana,30.7333,76.7794,2025-02-04,14.2,21.3,7.5,64,6.9,0.2,2.14,13,1014.9
Haryana,30.7333,76.7794,2025-02-05,14.6,20.3,10.1,72,8.9,0.7,2.51,331,1015.5
Haryana,30.7333,76.7794,2025-02-06,14.9,20.6,11.1,49,3.8,0.0,4.43,324,1016.9
Haryana,30.7333,76.7794,2025-02-07,14.6,20.8,10.1,53,4.8,0.0,4.44,322,1015.8
Haryana,30.7333,76.7794,2025-02-08,16.2,22.7,11.8,47,4.4,0.0,3.77,324,1014.6
Haryana,30.7333,76.7794,2025-02-09,17.0,25.4,9.5,46,4.3,0.0,2.13,330,1014.0
Haryana,30.7333,76.7794,2025-02-10,16.9,24.8,10.1,46,4.2,0.0,1.69,342,1013.8
Haryana,30.7333,76.7794,2025-02-11,17.8,25.5,9.7,47,5.3,0.0,2.54,342,1013.3
Haryana,30.7333,76.7794,2025-02-12,17.3,23.9,10.9,43,3.9,0.0,3.51,325,1013.9
Haryana,30.7333,76.7794,2025-02-13,16.8,23.3,11.3,37,1.1,0.0,4.61,321,1014.3
Haryana,30.7333,76.7794,2025-02-14,17.4,24.5,11.6,32,0.0,0.0,4.1,322,1012.2
Haryana,30.7333,76.7794,2025-02-15,17.6,24.3,13.4,41,3.7,0.4,2.3,346,1010.6
Haryana,30.7333,76.7794,2025-02-16,16.5,23.3,10.2,57,7.3,0.0,1.43,342,1012.7
Haryana,30.7333,76.7794,2025-02-17,17.6,26.4,9.1,54,6.5,0.0,1.81,337,1014.9
Haryana,30.7333,76.7794,2025-02-18,19.1,26.6,12.9,41,4.2,0.0,2.67,330,1014.1
Haryana,30.7333,76.7794,2025-02-19,19.3,26.8,12.6,36,2.6,0.1,2.44,333,1012.0
Haryana,30.7333,76.7794,2025-02-20,16.9,21.7,13.1,66,9.6,13.5,3.56,121,1014.6
Haryana,30.7333,76.7794,2025-02-21,16.5,23.0,10.4,63,8.8,0.0,1.98,330,1017.5
Haryana,30.7333,76.7794,2025-02-22,16.6,23.4,11.6,61,8.6,0.0,2.85,320,1016.1
Haryana,30.7333,76.7794,2025-02-23,17.2,24.7,10.8,58,8.1,0.0,2.08,325,1017.1
Haryana,30.7333,76.7794,2025-02-24,18.1,26.3,9.9,56,7.7,0.0,2.15,325,1018.0
Haryana,30.7333,76.7794,2025-02-25,17.8,23.9,11.9,56,8.3,0.4,1.85,0,1018.3
Haryana,30.7333,76.7794,2025-02-26,20.9,28.2,16.2,53,10.3,0.3,1.42,86,1018.4
Haryana,30.7333,76.7794,2025-02-27,17.2,20.8,15.8,77,13.0,8.4,2.84,108,1016.0
Haryana,30.7333,76.7794,2025-02-28,16.8,19.4,14.5,79,13.1,21.8,4.96,123,1012.6
Himachal_Pradesh,31.1048,77.1734,2025-02-01,2.9,10.4,-3.5,68,-3.5,0.9,1.93,147,1015.8
Himachal_Pradesh,31.1048,77.1734,2025-02-02,3.9,11.7,-1.3,63,-3.5,0.0,1.44,127,1016.7
Himachal_Pradesh,31.1048,77.1734,2025-02-03,5.6,15.7,-0.9,55,-4.1,0.0,1.45,151,1014.7
Himachal_Pradesh,31.1048,77.1734,2025-02-04,5.2,12.4,-0.1,52,-5.3,2.3,1.8,146,1016.0
Himachal_Pradesh,31.1048,77.1734,2025-02-05,2.4,7.9,-1.5,76,-2.2,5.1,1.92,146,1016.5
Himachal_Pradesh,31.1048,77.1734,2025-02-06,1.8,9.5,-3.0,60,-6.1,0.0,1.58,358,1018.2
Himachal_Pradesh,31.1048,77.1734,2025-02-07,4.1,13.4,-1.8,41,-9.4,0.0,1.59,11,1016.4
Himachal_Pradesh,31.1048,77.1734,2025-02-08,5.5,13.2,0.5,36,-9.9,0.0,1.63,348,1016.1
Himachal_Pradesh,31.1048,77.1734,2025-02-09,6.0,14.2,0.5,41,-7.0,0.1,1.4,282,1016.0
Himachal_Pradesh,31.1048,77.1734,2025-02-10,5.8,13.0,0.5,48,-5.2,0.0,1.52,233,1015.9
Himachal_Pradesh,31.1048,77.1734,2025-02-11,4.8,11.4,-0.7,54,-4.5,3.7,1.53,307,1016.0
Himachal_Pradesh,31.1048,77.1734,2025-02-12,4.3,10.9,-1.0,52,-5.5,0.0,2.06,336,1016.3
Himachal_Pradesh,31.1048,77.1734,2025-02-13,3.6,10.4,-1.0,41,-9.6,0.0,2.37,332,1016.1
Himachal_Pradesh,31.1048,77.1734,2025-02-14,5.2,12.2,-0.3,31,-11.5,0.0,2.21,329,1014.1
Himachal_Pradesh,31.1048,77.1734,2025-02-15,4.6,10.6,1.5,51,-5.0,6.5,1.04,99,1012.9
Himachal_Pradesh,31.1048,77.1734,2025-02-16,5.1,12.5,0.3,61,-2.3,0.0,1.24,256,1014.8
Himachal_Pradesh,31.1048,77.1734,2025-02-17,5.6,13.5,-1.4,50,-5.6,0.4,1.6,295,1017.5
Himachal_Pradesh,31.1048,77.1734,2025-02-18,6.8,14.1,1.3,38,-8.3,0.0,1.81,323,1016.7
Himachal_Pradesh,31.1048,77.1734,2025-02-19,6.5,14.6,1.1,42,-6.6,0.2,1.68,314,1014.5
Himachal_Pradesh,31.1048,77.1734,2025-02-20,3.2,8.5,-2.0,79,-0.4,54.8,2.73,119,1016.7
Himachal_Pradesh,31.1048,77.1734,2025-02-21,3.2,11.7,-4.1,74,-1.9,3.7,1.65,131,1019.3
Himachal_Pradesh,31.1048,77.1734,2025-02-22,3.3,12.3,-2.5,74,-1.9,4.2,1.52,115,1017.7
Himachal_Pradesh,31.1048,77.1734,2025-02-23,4.0,12.8,-4.4,68,-2.6,0.2,1.53,267,1019.0
Himachal_Pradesh,31.1048,77.1734,2025-02-24,5.7,13.4,-0.3,61,-2.3,0.0,1.62,297,1020.3
Himachal_Pradesh,31.1048,77.1734,2025-02-25,5.4,12.0,1.1,62,-1.8,3.3,1.53,57,1021.5
Himachal_Pradesh,31.1048,77.1734,2025-02-26,6.4,13.2,1.1,77,2.2,8.8,1.9,61,1023.0
Himachal_Pradesh,31.1048,77.1734,2025-02-27,3.9,5.9,2.6,95,3.1,28.4,2.49,85,1019.9
Himachal_Pradesh,31.1048,77.1734,2025-02-28,4.6,6.2,2.8,97,4.2,45.4,3.04,142,1014.8
Jharkhand,23.3441,85.3096,2025-02-01,21.5,29.5,14.7,50,9.8,0.0,1.62,23,1012.8
Jharkhand,23.3441,85.3096,2025-02-02,22.0,28.3,16.6,56,12.2,0.0,1.89,321,1013.1
Jharkhand,23.3441,85.3096,2025-02-03,20.4,26.9,14.2,56,10.6,0.0,2.69,326,1014.2
Jharkhand,23.3441,85.3096,2025-02-04,20.6,28.0,13.9,54,10.1,0.0,2.83,314,1014.2
Jharkhand,23.3441,85.3096,2025-02-05,22.9,29.8,16.9,49,10.9,0.0,3.37,318,1012.2
Jharkhand,23.3441,85.3096,2025-02-06,20.1,26.1,15.8,50,8.0,0.0,5.07,318,1014.0
Jharkhand,23.3441,85.3096,2025-02-07,18.3,25.7,12.2,31,0.2,0.0,4.77,311,1015.2
Jharkhand,23.3441,85.3096,2025-02-08,17.9,24.7,11.7,30,-1.0,0.0,3.43,310,1015.4
Jharkhand,23.3441,85.3096,2025-02-09,19.0,25.9,12.3,31,0.8,0.0,3.38,309,1014.5
Jharkhand,23.3441,85.3096,2025-02-10,20.6,28.6,13.5,34,3.3,0.0,2.21,306,1014.2
Jharkhand,23.3441,85.3096,2025-02-11,21.9,28.2,17.0,35,4.8,0.0,4.02,302,1013.3
Jharkhand,23.3441,85.3096,2025-02-12,21.8,28.6,16.0,36,5.5,0.0,2.92,311,1013.1
Jharkhand,23.3441,85.3096,2025-02-13,20.0,26.1,15.9,35,3.3,0.0,4.41,307,1013.3
Jharkhand,23.3441,85.3096,2025-02-14,19.0,25.6,12.6,32,0.5,0.0,4.52,302,1013.0
Jharkhand,23.3441,85.3096,2025-02-15,20.2,26.7,14.3,32,2.6,0.0,3.32,305,1012.6
Jharkhand,23.3441,85.3096,2025-02-16,21.9,29.7,14.8,35,4.8,0.0,2.68,285,1012.0
Jharkhand,23.3441,85.3096,2025-02-17,21.8,29.7,15.3,46,8.6,0.0,2.34,9,1014.3
Jharkhand,23.3441,85.3096,2025-02-18,21.4,27.5,15.2,49,8.9,0.0,1.77,10,1014.5
Jharkhand,23.3441,85.3096,2025-02-19,22.1,27.8,16.4,45,9.0,0.0,1.94,28,1013.3
Jharkhand,23.3441,85.3096,2025-02-20,20.5,27.5,16.7,68,13.9,15.1,1.76,96,1015.0
Jharkhand,23.3441,85.3096,2025-02-21,21.6,28.2,15.9,56,10.5,0.0,2.9,297,1015.2
Jharkhand,23.3441,85.3096,2025-02-22,20.8,27.4,16.4,56,11.0,0.1,1.85,344,1015.4
Jharkhand,23.3441,85.3096,2025-02-23,20.4,26.5,15.3,51,9.1,0.0,2.86,332,1017.0
Jharkhand,23.3441,85.3096,2025-02-24,19.9,26.8,13.9,44,5.8,0.0,2.17,334,1018.1
Jharkhand,23.3441,85.3096,2025-02-25,20.6,28.1,14.2,45,7.5,0.0,2.28,353,1018.8
Jharkhand,23.3441,85.3096,2025-02-26,20.4,26.1,14.2,51,9.6,0.0,1.46,51,1018.7
Jharkhand,23.3441,85.3096,2025-02-27,20.9,27.8,13.9,46,8.1,0.0,2.65,331,1016.4
Jharkhand,23.3441,85.3096,2025-02-28,22.9,31.2,16.4,47,9.8,0.0,1.74,178,1014.4
Karnataka,12.9716,77.5946,2025-02-01,24.5,30.5,19.4,57,13.6,0.0,2.63,92,1013.1
Karnataka,12.9716,77.5946,2025-02-02,24.0,31.0,17.5,48,9.4,0.0,2.41,86,1013.4
Karnataka,12.9716,77.5946,2025-02-03,23.4,30.3,16.8,45,7.4,0.0,2.71,97,1013.7
Karnataka,12.9716,77.5946,2025-02-04,23.9,30.7,17.0,40,7.7,0.0,2.68,94,1014.0
