State_UT,Latitude,Longitude,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean
Andhra_Pradesh,16.5062,80.648,2025-08-01,30.6,34.5,26.8,67,23.4,0.2,2.9,291,1003.9
Andhra_Pradesh,16.5062,80.648,2025-08-02,30.8,34.8,26.9,67,23.5,0.3,2.26,298,1003.8
Andhra_Pradesh,16.5062,80.648,2025-08-03,31.2,35.6,27.2,66,23.7,0.6,1.55,191,1005.0
Andhra_Pradesh,16.5062,80.648,2025-08-04,29.9,35.7,26.3,74,24.5,3.2,1.26,264,1006.0
Andhra_Pradesh,16.5062,80.648,2025-08-05,30.8,35.8,25.5,70,24.0,0.4,1.84,127,1005.6
Andhra_Pradesh,16.5062,80.648,2025-08-06,31.4,36.3,26.9,67,24.1,0.5,1.17,143,1005.2
Andhra_Pradesh,16.5062,80.648,2025-08-07,31.4,36.2,28.1,67,24.2,7.3,1.69,228,1004.8
Andhra_Pradesh,16.5062,80.648,2025-08-08,30.2,34.9,26.1,68,23.0,7.1,1.33,317,1006.2
Andhra_Pradesh,16.5062,80.648,2025-08-09,30.2,36.8,26.6,71,23.8,4.1,1.35,131,1007.2
Andhra_Pradesh,16.5062,80.648,2025-08-10,29.8,33.3,26.5,71,23.6,0.2,1.41,263,1006.5
Andhra_Pradesh,16.5062,80.648,2025-08-11,29.0,34.7,25.1,74,23.6,5.0,3.28,282,1005.5
Andhra_Pradesh,16.5062,80.648,2025-08-12,28.1,33.3,24.8,80,24.2,11.9,3.69,292,1003.4
Andhra_Pradesh,16.5062,80.648,2025-08-13,25.6,28.1,24.5,93,24.4,70.7,3.33,270,1002.3
Andhra_Pradesh,16.5062,80.648,2025-08-14,27.5,31.5,24.0,81,23.7,10.1,3.22,253,1002.6
Andhra_Pradesh,16.5062,80.648,2025-08-15,28.5,32.9,25.3,75,23.4,18.0,3.39,258,1001.3
Andhra_Pradesh,16.5062,80.648,2025-08-16,27.8,31.7,25.3,81,24.2,5.6,3.28,270,999.7
Andhra_Pradesh,16.5062,80.648,2025-08-17,27.4,29.0,25.7,81,23.7,5.0,3.74,263,1000.3
Andhra_Pradesh,16.5062,80.648,2025-08-18,26.5,30.0,24.6,83,23.2,9.0,5.16,260,1001.6
Andhra_Pradesh,16.5062,80.648,2025-08-19,27.4,31.0,24.4,78,23.0,5.0,5.07,253,1002.5
Andhra_Pradesh,16.5062,80.648,2025-08-20,28.2,32.0,25.4,76,23.5,3.7,3.62,236,1004.4
Andhra_Pradesh,16.5062,80.648,2025-08-21,29.1,32.5,26.0,73,23.6,0.2,2.78,246,1006.5
Andhra_Pradesh,16.5062,80.648,2025-08-22,28.7,32.3,26.9,75,23.7,1.6,3.13,254,1006.3
Andhra_Pradesh,16.5062,80.648,2025-08-23,29.4,33.0,26.0,70,23.0,0.0,3.2,255,1005.5
Andhra_Pradesh,16.5062,80.648,2025-08-24,29.6,32.4,26.4,63,21.7,0.0,3.76,270,1006.2
Andhra_Pradesh,16.5062,80.648,2025-08-25,30.0,34.1,27.3,64,22.1,0.0,3.14,274,1005.4
